n_estimators, cross_val_score, training_score, testing_score
10,0.614922246182, 0.9546740638, 0.620761066529
20,0.614533446072, 0.9546740638, 0.620631633446
30,0.614533879032, 0.9546740638, 0.619725601864
40,0.614589682805, 0.9546740638, 0.61998446803
50,0.614756505452, 0.953453536755, 0.619725601864
60,0.614478510202, 0.9546740638, 0.619078436448
70,0.614866847265, 0.9546740638, 0.619207869531
80,0.614865949712, 0.9546740638, 0.619466735698
90,0.614923301867, 0.95334257975, 0.619725601864
100,0.614647918846, 0.952288488211, 0.617784105617
