input_size, CV DecisionTree, CV AdaBoost, CV KNN, CV NeuralNetwork, CV SVC,Train DecisionTree,Train AdaBoost,Train KNN,Train NeuralNetwork,Train SVC
100,0.434322344,0.357225275,0.447979243,0.44956044,0.532179487,0.86,1,0.58,0.63,0.62
200,0.427510644,0.401024732,0.460341618,0.448255912,0.452792599,0.75,1,0.58,0.595,0.585
300,0.496415287,0.498536107,0.514211564,0.491972908,0.483253252,0.763333333,0.996666667,0.596666667,0.576666667,0.543333333
400,0.471159038,0.487149497,0.505409804,0.506847928,0.520748582,0.6725,0.995,0.6075,0.5725,0.56
500,0.448338624,0.501099218,0.514631691,0.491756226,0.500473614,0.65,0.996,0.618,0.552,0.57
600,0.451597318,0.499727382,0.488591527,0.480795184,0.488767198,0.666666667,0.996666667,0.611666667,0.55,0.551666667
700,0.478642724,0.493231144,0.473490666,0.487275808,0.487033539,0.665714286,0.997142857,0.612857143,0.538571429,0.564285714
800,0.488236139,0.517871246,0.488220714,0.493011975,0.494415556,0.66,0.9975,0.64375,0.545,0.5625
900,0.512679353,0.533088266,0.507849751,0.501898786,0.528322486,0.653333333,0.997777778,0.633333333,0.544444444,0.57
1000,0.514637955,0.513745907,0.512034934,0.502061817,0.539173507,0.639,0.996,0.636,0.523,0.568
1100,0.506767575,0.5039582,0.501960911,0.509462246,0.532244099,0.627272727,0.996363636,0.628181818,0.533636364,0.560909091
1200,0.5249743,0.501135327,0.516460556,0.494990553,0.528520063,0.645,0.996666667,0.636666667,0.5275,0.559166667
1300,0.526516283,0.502218648,0.518059115,0.507325104,0.526917625,0.640769231,0.996153846,0.646153846,0.545384615,0.559230769
1400,0.529139229,0.496130614,0.52819559,0.507199671,0.534646937,0.632857143,0.992857143,0.644285714,0.536428571,0.556428571
1500,0.521711305,0.491207388,0.514780128,0.510218913,0.534237126,0.636,0.992666667,0.640666667,0.532,0.557333333
1600,0.516837472,0.498804322,0.513614097,0.509621735,0.535867012,0.636875,0.993125,0.6425,0.526875,0.5575
1700,0.524195238,0.512408489,0.528966348,0.516801324,0.540692108,0.628235294,0.992352941,0.645882353,0.536470588,0.56
1800,0.517545915,0.517918646,0.531566225,0.519008161,0.540594804,0.631111111,0.992222222,0.651111111,0.533888889,0.559444444
