input_size, cv_dt, cv_ab, cv_kn, cv_n, cv_svc, dt, ab, kn, n, svc
100, 0.723232323232, 0.693939393939, 0.821414141414, 0.781212121212, 0.821414141414, 0.89, 1.0, 0.82, 0.82, 0.82
200, 0.695, 0.59, 0.8, 0.71, 0.8, 0.86, 0.99, 0.8, 0.815, 0.8
300, 0.736707452725, 0.620689655172, 0.783648498331, 0.767296996663, 0.783648498331, 0.8, 0.99, 0.783333333333, 0.786666666667, 0.783333333333
400, 0.764851469669, 0.690326766729, 0.792607879925, 0.745519074422, 0.792607879925, 0.8225, 0.98, 0.7925, 0.8, 0.7925
500, 0.756141656663, 0.676078431373, 0.794069627851, 0.776066426571, 0.794069627851, 0.826, 0.968, 0.794, 0.794, 0.794
600, 0.74845697879, 0.680202834121, 0.781681948689, 0.751736593498, 0.781681948689, 0.808333333333, 0.933333333333, 0.781666666667, 0.781666666667, 0.781666666667
700, 0.74002916047, 0.708679322311, 0.784297086869, 0.751520426909, 0.784297086869, 0.802857142857, 0.922857142857, 0.785714285714, 0.784285714286, 0.784285714286
800, 0.759991795593, 0.705130293796, 0.786258790436, 0.776305086732, 0.786258790436, 0.80125, 0.90875, 0.78625, 0.79125, 0.78625
900, 0.755543619926, 0.70577231757, 0.783349110315, 0.779076703571, 0.782250209217, 0.805555555556, 0.901111111111, 0.781111111111, 0.797777777778, 0.782222222222
1000, 0.76098609861, 0.731223122312, 0.783088308831, 0.777087708771, 0.78502850285, 0.8, 0.884, 0.787, 0.809, 0.785
1100, 0.769104208462, 0.727423904305, 0.780972431982, 0.783683324692, 0.788196019205, 0.802727272727, 0.872727272727, 0.788181818182, 0.786363636364, 0.788181818182
1200, 0.77169809246, 0.731718174873, 0.786684549853, 0.779990103479, 0.792504109082, 0.805, 0.875833333333, 0.791666666667, 0.799166666667, 0.7925
1300, 0.777758902438, 0.722270912708, 0.789268095063, 0.790771233619, 0.795398635331, 0.808461538462, 0.873846153846, 0.795384615385, 0.818461538462, 0.795384615385
1400, 0.775722230726, 0.736451057999, 0.786416107236, 0.787155940901, 0.792145809189, 0.802142857143, 0.862857142857, 0.792857142857, 0.792142857143, 0.792142857143
1500, 0.772016534068, 0.732632561447, 0.783345926486, 0.788661718299, 0.790012889462, 0.806, 0.864666666667, 0.792666666667, 0.79, 0.79
1600, 0.771877539162, 0.741821824095, 0.787510547287, 0.78627233974, 0.79188181179, 0.803125, 0.86, 0.7925, 0.804375, 0.791875
1700, 0.777647058824, 0.738823529412, 0.790588235294, 0.792941176471, 0.794117647059, 0.805882352941, 0.848235294118, 0.793529411765, 0.794117647059, 0.794117647059
1800, 0.782226046071, 0.749429097606, 0.796680144449, 0.796109139171, 0.797785116825, 0.808333333333, 0.850555555556, 0.798333333333, 0.797777777778, 0.797777777778
1900, 0.77949094668, 0.751587243268, 0.794214273321, 0.795796063749, 0.796848695328, 0.803157894737, 0.849473684211, 0.796842105263, 0.796842105263, 0.796842105263
2000, 0.786488212205, 0.748982487062, 0.798008437711, 0.79649841246, 0.798005950149, 0.808, 0.8445, 0.8005, 0.798, 0.798
2100, 0.779987905999, 0.744268609913, 0.790954065474, 0.790473339747, 0.791908746446, 0.803333333333, 0.840952380952, 0.793333333333, 0.791904761905, 0.791904761905
2200, 0.782736692531, 0.74454432755, 0.794544609299, 0.794094139811, 0.79500121152, 0.81, 0.839545454545, 0.796363636364, 0.795, 0.795
2300, 0.784782090892, 0.763919807804, 0.795218854306, 0.795655551967, 0.796959899793, 0.808695652174, 0.843913043478, 0.796956521739, 0.796956521739, 0.796956521739
2400, 0.791666666667, 0.7625, 0.79875, 0.799583333333, 0.8, 0.811666666667, 0.839583333333, 0.800833333333, 0.8, 0.8
2500, 0.793608281733, 0.772816134658, 0.796793887902, 0.796400300805, 0.799201907231, 0.8116, 0.836, 0.8, 0.7992, 0.7992
2600, 0.791913808466, 0.770761288003, 0.797304432132, 0.801156525984, 0.801156525984, 0.809615384615, 0.836923076923, 0.801538461538, 0.801153846154, 0.801153846154
2700, 0.788893974566, 0.775929573794, 0.799996987207, 0.802595077004, 0.802595077004, 0.808518518519, 0.838148148148, 0.803333333333, 0.802592592593, 0.802592592593
2800, 0.793569128068, 0.777155762737, 0.802856131547, 0.8028586826, 0.8028586826, 0.810714285714, 0.830357142857, 0.803571428571, 0.802857142857, 0.802857142857
2900, 0.793798761804, 0.776199372579, 0.79999857311, 0.801036635394, 0.801036635394, 0.805862068966, 0.832068965517, 0.800689655172, 0.801034482759, 0.801034482759
3000, 0.792997499972, 0.771330692563, 0.798665325911, 0.799998666652, 0.801002011133, 0.807333333333, 0.829333333333, 0.800333333333, 0.801, 0.801
3100, 0.787096774194, 0.775161290323, 0.798387096774, 0.797096774194, 0.8, 0.806451612903, 0.828709677419, 0.799032258065, 0.8, 0.8
3200, 0.789375155641, 0.769670040723, 0.799374218742, 0.799685739119, 0.80062617799, 0.8059375, 0.82875, 0.7996875, 0.800625, 0.800625
3300, 0.792427684591, 0.773334827629, 0.8003010073, 0.802122873377, 0.802122873377, 0.807575757576, 0.829090909091, 0.801212121212, 0.802121212121, 0.802121212121
3400, 0.794115560739, 0.777649249459, 0.802942565654, 0.803235820786, 0.803235820786, 0.806764705882, 0.829705882353, 0.802352941176, 0.804705882353, 0.803235294118
3500, 0.796571727116, 0.773990353274, 0.803714630907, 0.804286882808, 0.80457341576, 0.808857142857, 0.83, 0.803714285714, 0.804571428571, 0.804571428571
3600, 0.796943357759, 0.777503495826, 0.804167131777, 0.805278247174, 0.805278247174, 0.81, 0.824444444444, 0.804444444444, 0.805277777778, 0.805277777778
3700, 0.796752350273, 0.77701005851, 0.801623094398, 0.804056275064, 0.804056275064, 0.808648648649, 0.827567567568, 0.803243243243, 0.804054054054, 0.804054054054
3800, 0.797365632726, 0.775269911841, 0.799733377655, 0.803949473334, 0.803949473334, 0.807894736842, 0.829736842105, 0.803684210526, 0.803947368421, 0.803947368421
3900, 0.798205128205, 0.779230769231, 0.802051282051, 0.805128205128, 0.805128205128, 0.808974358974, 0.824358974359, 0.804871794872, 0.805128205128, 0.805128205128
4000, 0.800001009381, 0.778252218764, 0.802748503116, 0.802750382815, 0.805250382815, 0.80875, 0.82425, 0.8055, 0.80525, 0.80525
4100, 0.798541221136, 0.779995045022, 0.802926121207, 0.80390352288, 0.804147425319, 0.80756097561, 0.822682926829, 0.803902439024, 0.804146341463, 0.804146341463
4200, 0.792619236585, 0.783089146656, 0.80214138996, 0.80357280532, 0.803810900559, 0.808571428571, 0.822380952381, 0.80380952381, 0.80380952381, 0.80380952381
4300, 0.796978024583, 0.782318143016, 0.801393406859, 0.803024568913, 0.803257127053, 0.807441860465, 0.821627906977, 0.803255813953, 0.803255813953, 0.803255813953
4400, 0.800226657585, 0.780913050593, 0.802273147542, 0.802501971038, 0.802955485777, 0.807045454545, 0.8225, 0.803409090909, 0.802954545455, 0.802954545455
4500, 0.801335020036, 0.782889508919, 0.802221438679, 0.803556753915, 0.803556753915, 0.808666666667, 0.819777777778, 0.804, 0.803555555556, 0.803555555556
4600, 0.796958973053, 0.781522263091, 0.801738282851, 0.802826660231, 0.802609268927, 0.808913043478, 0.817826086957, 0.803043478261, 0.802608695652, 0.802608695652
4700, 0.797234042553, 0.78170212766, 0.803191489362, 0.804255319149, 0.804255319149, 0.810638297872, 0.822978723404, 0.804255319149, 0.804255319149, 0.804255319149
4800, 0.798542361114, 0.778751977548, 0.802708596464, 0.803958596464, 0.803958596464, 0.809583333333, 0.820208333333, 0.804375, 0.803958333333, 0.803958333333
4900, 0.799388840539, 0.785922769443, 0.803878220812, 0.804082302445, 0.804285968433, 0.809591836735, 0.818979591837, 0.804897959184, 0.805102040816, 0.804285714286
