number_people,timestamp,day_of_week,is_weekend,is_holiday,apparent_temperature,temperature,is_start_of_semester
16,27013,4,0,0,50.61,50.61,0
68,49815,4,0,0,67.52,67.52,0
38,42011,2,0,0,63.93,63.93,0
43,84013,0,0,1,54.73,54.73,1
42,52829,1,0,0,61.15,61.15,0
0,19214,2,0,0,55.24,55.24,0
78,62412,4,0,0,62.39,62.39,0
14,3609,1,0,0,60.97,60.97,0
49,49223,1,0,0,78.74,78.74,0
79,60013,6,1,0,73.96,73.96,1
35,45626,5,1,0,67.13,67.13,0
67,74414,2,0,0,58.87,58.87,0
49,40812,3,0,0,65.07,65.07,0
7,69612,0,0,0,46.82,46.82,0
4,22815,1,0,0,59.76,59.76,0
33,59412,0,0,0,48.77,48.77,0
21,49813,0,0,0,46.29,48.01,0
0,30011,3,0,0,40.79,44.48,0
52,58812,6,1,0,65.32,65.32,0
23,33614,5,1,0,55.24,55.24,0
36,52833,2,0,0,57,57,0
32,82214,5,1,0,57.67,57.67,0
39,45016,1,0,0,57.46,57.46,0
53,75015,3,0,0,59.01,59.01,0
36,35414,6,1,0,56.24,56.24,0
22,3014,0,0,0,51.78,51.78,0
41,79215,4,0,0,57.73,57.73,0
1,55811,3,0,0,50.59,50.59,0
68,37825,1,0,0,51.42,51.42,1
34,74412,5,1,0,64.49,64.49,0
41,28214,2,0,0,62.24,62.24,0
15,2410,1,0,0,62,62,0
28,32418,6,1,0,53.45,53.45,1
48,81614,6,1,0,55.31,55.31,0
34,42015,0,0,0,51.58,51.58,0
44,66623,3,0,0,58.49,58.49,0
19,30608,4,0,0,64.73,64.73,0
64,81015,5,1,0,54,54,0
0,70213,3,0,0,51.55,51.55,0
61,66616,6,1,0,52.24,52.24,1
34,2422,4,0,0,57.22,57.22,1
53,85213,3,0,0,56.04,56.04,0
0,35412,5,1,0,44.57,47.53,0
0,70815,2,0,0,45.45,47.8,0
76,72017,1,0,0,53,53,0
27,55215,6,1,0,67.49,67.49,0
74,60616,1,0,0,58.26,58.26,0
26,2409,0,0,0,62.72,62.72,0
76,67815,2,0,0,53.58,53.58,0
64,78016,3,0,0,59.73,59.73,0
54,42014,2,0,0,61.26,61.26,0
63,84612,1,0,0,56.6,56.6,0
37,79216,4,0,0,56.24,56.24,0
37,85815,6,1,0,57.33,57.33,0
58,50423,2,0,0,70.91,70.91,1
68,72020,3,0,0,58.28,58.28,0
0,26411,5,1,0,41.67,44.5,0
81,75014,6,1,0,63.01,63.01,0
68,77413,4,0,0,53.27,53.27,0
48,56421,2,0,0,64.51,64.51,0
12,22813,3,0,0,54.55,54.55,0
36,37211,4,0,0,53.55,53.55,0
93,58812,4,0,0,68.05,68.05,1
21,45015,4,0,0,61.95,61.95,0
66,77412,0,0,0,55.32,55.32,0
74,67214,2,0,0,51.44,51.44,0
45,49215,2,0,0,54,54,0
0,24013,5,1,0,65.8,65.8,1
22,31814,6,1,0,56.96,56.96,0
37,36017,5,1,0,58,58,0
87,67217,2,0,0,61.02,61.02,0
56,42613,2,0,0,62.42,62.42,0
54,51612,6,1,0,68.05,68.05,0
57,66011,2,0,0,61,61,0
1,19211,5,1,0,54,54,0
74,71414,0,0,0,65.58,65.58,0
39,36016,1,0,0,54.8,54.8,0
48,59415,1,0,0,52.86,52.86,0
50,32415,1,0,0,59.25,59.25,0
0,70812,4,0,0,46.86,47.76,0
40,74415,5,1,0,62.24,62.24,0
0,21014,6,1,0,60.04,60.04,0
0,20414,0,0,0,51,51,0
50,63092,0,0,0,58,58,0
51,78021,6,1,0,55.83,55.83,0
53,78617,3,0,0,59.73,59.73,0
38,49218,2,0,0,56.26,56.26,0
49,43218,0,0,0,56.69,56.69,0
36,26412,2,0,0,62.24,62.24,0
0,19212,5,1,0,58.34,58.34,0
60,57013,5,1,0,58.19,58.19,0
