Year,Punxsutawney Phil,February Average Temperature,February Average Temperature (Northeast),February Average Temperature (Midwest),February Average Temperature (Pennsylvania),March Average Temperature,March Average Temperature (Northeast),March Average Temperature (Midwest),March Average Temperature (Pennsylvania)
1886,No Record,,,,,,,,
1887,Full Shadow,,,,,,,,
1888,Full Shadow,,,,,,,,
1889,No Record,,,,,,,,
1890,No Shadow,,,,,,,,
1891,No Record,,,,,,,,
1892,No Record,,,,,,,,
1893,No Record,,,,,,,,
1894,No Record,,,,,,,,
1895,No Record,26.6,15.6,21.9,17,39.97,27.6,40.2,31.3
1896,No Record,35.04,22.2,33.5,26.6,38.03,25.3,36.9,27.8
1897,No Record,33.39,23.6,34.7,27.9,38.79,32,44,36.9
1898,Full Shadow,35.37,24.8,33.3,26.7,41.05,38,46,42
1899,No Record,25.5,18.1,22.2,20,37.63,29.3,38.4,34
1900,Full Shadow,30.76,21.4,27.5,24.1,41.27,26,37.9,29.3
1901,Full Shadow,29.86,16,26.2,18.9,40.71,30.8,41.9,35.1
1902,No Record,31.46,20.1,23.6,21,41.58,37.1,43.9,38.8
1903,Full Shadow,28.42,24.5,31.3,28,42.21,40.4,47.7,44.5
1904,Full Shadow,31.59,15,28.2,19.2,41.76,29.8,42.8,34
1905,Full Shadow,26.94,15.2,22.2,18.1,45.12,31.4,47.2,36.9
1906,Full Shadow,33.69,22,30.7,25.3,36.1,25.7,33.9,29.1
1907,Full Shadow,35.46,15.2,31.5,20.1,45.7,33.3,50.2,39.5
1908,Full Shadow,33.01,18.4,31.2,22.1,43.92,32.7,47.1,38.4
1909,Full Shadow,35.02,26.4,37.2,32.9,40.35,29.6,41.1,33.1
1910,Full Shadow,29.3,20.6,28.5,23.8,49.44,37.8,51.9,42.6
1911,Full Shadow,33.66,21.4,37.5,28.5,44.02,28.4,42.9,32.8
1912,Full Shadow,31.08,18.6,25.8,21.1,35.76,27.7,35.2,31.5
1913,Full Shadow,29.5,20.2,29.6,25,38.71,35.9,41.1,40
1914,Full Shadow,29.52,14.5,26.3,18.7,40.75,29.6,39,31.7
1915,Full Shadow,35.94,26.7,37.6,30.6,36.95,28.3,34.9,30.3
1916,Full Shadow,33.03,18.9,30.1,22.8,42.15,24.2,40.2,28.2
1917,Full Shadow,30.09,17.8,29.1,23,38.35,31.2,42.6,35.4
1918,Full Shadow,33.82,19.8,34.1,25.7,45.75,32.9,48.2,39.3
1919,Full Shadow,32.25,25.4,34.1,29.6,40.89,34.8,43.9,38.6
1920,Full Shadow,33.69,19.6,31.5,23,40.28,32.7,42.9,36.7
1921,Full Shadow,36.9,25.1,37.6,30,46.63,40.6,51.6,45.4
1922,Full Shadow,31.95,24.2,35.7,30.1,40.42,33.8,44.1,37.1
1923,Full Shadow,29.57,16.2,29.1,22.1,38.3,27.9,40.1,34.3
1924,Full Shadow,35.19,18.3,31.7,23.9,37.18,31.3,37.5,33.5
1925,Full Shadow,38.3,29.2,38.7,32.8,44.24,35.5,45,38.1
1926,Full Shadow,37.67,20.5,36.3,25.8,39.65,25.9,36.3,30.2
1927,Full Shadow,37.9,26.2,40.4,32,42.26,35.2,44.6,39.2
1928,Full Shadow,34.34,22.6,34.2,27.3,43.12,30.2,42,34
1929,Full Shadow,26.92,21.7,26.2,24.7,43.56,36.2,47.5,41
1930,Full Shadow,40.1,26.1,41.4,32.2,40.41,31.7,40.8,35.1
1931,Full Shadow,37.94,24.2,38,29,39.42,32.9,37.7,33.7
1932,Full Shadow,36.7,25.7,41,32.6,37.36,28.1,36.3,30.8
1933,Full Shadow,29.59,25.8,32.3,28.4,41.83,30.1,41.5,33.8
1934,No Shadow,34.32,10.4,27.2,15.2,42.78,29.2,38.8,32.1
1935,Full Shadow,36.01,21.1,35,25.8,43.61,34.1,48.8,40
1936,Full Shadow,25.23,15.6,24,18.3,43.43,37.4,46.1,39.4
1937,Full Shadow,31.73,26.3,32.2,28.5,38.84,27.6,38.2,31.4
1938,Full Shadow,36,26,40.2,31.4,45.01,35,49.6,40.1
1939,Full Shadow,29.98,24.9,34,30.2,42.51,29.3,44.4,35.6
1940,Full Shadow,33.85,22.3,31.9,26.3,41.52,27,39.4,29.5
