Border,Sector,State/Territory,2000 (All Illegal Immigrants),2000 (Mexicans Only),2001 (All Illegal Immigrants),2001 (Mexicans Only),2002 (All Illegal Immigrants),2002 (Mexicans Only),2003 (All Illegal Immigrants),2003 (Mexicans Only),2004 (All Illegal Immigrants),2004 (Mexicans Only),2005 (All Illegal Immigrants),2005 (Mexicans Only),2006 (All Illegal Immigrants),2006 (Mexicans Only),2007 (All Illegal Immigrants),2007 (Mexicans Only),2008 (All Illegal Immigrants),2008 (Mexicans Only),2009 (All Illegal Immigrants),2009 (Mexicans Only),2010 (All Illegal Immigrants),2010 (Mexicans Only),2011 (All Illegal Immigrants),2011 (Mexicans Only),2012 (All Illegal Immigrants),2012 (Mexicans Only),2013 (All Illegal Immigrants),2013 (Mexicans Only),2014 (All Illegal Immigrants),2014 (Mexicans Only),2015 (All Illegal Immigrants),2015 (Mexicans Only),2016 (All Illegal Immigrants),2016 (Mexicans Only)
Coast,Livermore,CA,6205,6034,5211,5007,4371,4186,3565,3382,1850,1753,114,106,,,,,,,,,,,,,,,,,,,,,,
Coast,Miami,"FL, GA, SC, NC",6237,2421,5962,1590,5143,1825,5931,2481,4602,2007,7245,2325,6032,1616,7120,1612,6020,1564,4425,1857,4651,1837,4401,1529,2509,831,1738,388,2034,277,1752,273,3205,652
Coast,New Orleans,"LA, AL, MS, FL",6478,5985,5033,4616,4665,4126,5151,4352,2889,2280,1358,983,3053,1840,4018,2633,4303,2923,3527,2269,3171,1941,1509,897,474,277,500,262,950,465,849,394,764,388
Coast,Ramey,PR,1731,0,1952,0,835,0,1688,0,1813,3,1619,1,1436,2,548,0,572,0,418,2,398,2,642,3,702,0,924,3,958,0,557,1,694,0
Coast,All,"PR, LA, AL, MS, FL, GA, SC, NC",20651,14440,18158,11213,15014,10137,16335,10215,11154,6043,10336,3415,10521,3458,11686,4245,10895,4487,8370,4128,8220,3780,6552,2429,3685,1108,3162,653,3942,742,3158,668,4663,1040
North,Blaine,"WA, OR",2581,1560,2089,1214,1732,1059,1380,754,1354,759,1001,506,811,485,749,518,954,643,843,524,673,376,591,314,537,270,360,106,272,58,282,67,271,40
North,Buffalo,"NY, PA",1570,978,1434,850,1102,421,564,218,671,240,400,221,1517,959,2191,1271,3339,1618,2672,1314,2422,1143,2114,938,1143,607,796,370,741,294,291,137,226,82
North,Detroit,"OH, MI, IN, IL",2057,1634,2106,1772,1511,1125,2345,1672,1912,1353,1793,1327,1281,944,902,686,961,664,1157,881,1669,1196,1531,1031,950,673,650,479,647,431,637,427,716,504
North,Grand Forks,"WI, MN, ND",562,373,921,755,1369,1068,1223,1009,1225,1011,754,580,518,383,497,334,541,361,472,311,543,388,468,294,418,306,469,337,767,532,789,563,505,352
North,Havre,MT,1568,1375,1305,1153,1463,1199,1406,1153,986,844,948,807,568,511,486,409,427,379,283,208,290,184,270,167,102,54,88,62,91,51,64,46,43,12
