pdf_link,pdf_year,row_id,Receiver,From,Justification,Gift,Disposition,Gift_Rec_Date,Value_USD
http://www.state.gov/documents/organization/263401.pdf,2015,1.05,"The Honorable Barack Obama, President of the United States.","The Right Honorable David Cameron, MP, Prime Minister of the United Kingdom of Great Britain and Northern Ireland.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Framed etching of Stonehenge,National Archives and Records Administration.,2015-01-15,"2,090.00"
http://www.state.gov/documents/organization/263401.pdf,2015,1.06,"The Honorable Barack Obama, President of the United States.","His Excellency Narendra Modi, Prime Minister of the Republic of India.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Telegram facsimile from the U.S. to India’s Constituent Assembly in 1946. Reproduction of the cover page of a report on India’s Constitutional Debates. 17″ x 13″ framed photograph of Marian Anderson’s radio interview in India. Hand-carved wooden Jali box with a small wooden latch and photo of Marian Anderson’s radio interview in India on the lid. CD set, title: All India Radio Interview with Ms. Marian Anderson, 18 November 1957, New Delhi. Hand-carved black wooden Jali box with painting on the lid. Blue Shahmina shawl. Red Shahmina shawl. Beige and cream colored Shahmina shawl",National Archives and Records Administration.,2015-01-25,"1,231.00"
http://www.state.gov/documents/organization/263401.pdf,2015,2.11,"The Honorable Barack Obama, President of the United States.","Mr. Rajnish Kumar, Secretary of the Rajghat Samadhi Committee of the Republic of India.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Model spinning wheel with white tread looped around the wheel. Cloth scroll listing the Seven Social Sins as articulated by Mahatma Ghandi. Book, title: Mahatma Gandhi. Book, title: An Autobiography—The Story of my Experiments with the Truth. Ivory colored cloth. 56″ x 96″ bronze-colored bust of Mohandas Karamchard Gandhi on a wood base. Small burlap tote bag with zipper. Small burlap bag with velcro closure. Large burlap bag with straps and zippers",National Archives and Records Administration.,2015-01-24,929.01
http://www.state.gov/documents/organization/263401.pdf,2015,2.12,"The Honorable Barack Obama, President of the United States.","His Excellency Pranab Mukherjee, President of the Republic of India.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Book, title: Thoughts and Reflections. Book, title: Winged Wonders of Rashtrapati Bhavan RB Series 2012–2014. Photobook, title: State Visit of His Excellency Mr. Barack H. Obama, President of the United States of America and Mrs. Michelle Obama to India 25 to 27 January 2015",National Archives and Records Administration.,2015-01-26,825.00
http://www.state.gov/documents/organization/263401.pdf,2015,2.13,"The Honorable Barack Obama, President of the United States.","Her Excellency Dr. Angela Merkel, Chancellor of the Federal Republic of Germany.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Framed watercolor painting of men playing basketball. Book, title: Ulrich Zeh",National Archives and Records Administration.,2015-02-09,440.00
http://www.state.gov/documents/organization/263401.pdf,2015,2.14,"The Honorable Barack Obama, President of the United States.","His Highness Sheikh Tamim bin Hamad Al Thani, Emir of the State of Qatar.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Silver bowl with the Qatari insignia in the center and bordered by an alphabetical listing of national capitals and their distance from Doha in kilometers,National Archives and Records Administration.,2015-02-24,"6,500.00"
http://www.state.gov/documents/organization/263401.pdf,2015,2.15,"The Honorable Barack Obama, President of the United States.","His Excellency Enda Kenny, T.D., Prime Minister of Ireland.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Hunter green hardcover book of poetry authored by William Butler Yeats. Crystal presentation bowl with personalized inscription and quotes by Yeats along the top border with shamrocks with a round base,National Archives and Records Administration.,2015-03-16,"10,556.00"
http://www.state.gov/documents/organization/263401.pdf,2015,2.16,"The Honorable Barack Obama, President of the United States.","His Excellency Mohammad Ashraf Ghani, President of the Islamic Republic of Afghanistan.",Non-acceptance would cause embarrassment to donor and U.S. Government.,10″ diameter blue lapis lazuli vase with stone inlay. 10″ diameter blue lapis lazuli bowl in a mosaic pattern,National Archives and Records Administration.,2015-03-23,"2,425.00"
http://www.state.gov/documents/organization/263401.pdf,2015,3.21,"The Honorable Barack Obama, President of the United States.","His Excellency Juan Carlos Varela, President of the Republic of Panama.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Two 15″ x 10″ glass display panels in bright multicolor with stands. Shirt of sheer white cotton,National Archives and Records Administration.,2015-04-09,384.79
http://www.state.gov/documents/organization/263401.pdf,2015,3.22,"The Honorable Barack Obama, President of the United States.","His Excellency Matteo Renzi, President of the Council of Ministers of the Italian Republic.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Four etchings on copper plates each depicting a theater: Greek, Roman, Odeaon, and Gaul-Roman",National Archives and Records Administration.,2015-04-16,760.00
http://www.state.gov/documents/organization/263401.pdf,2015,3.23,"The Honorable Barack Obama, President of the United States.","His Highness Sheikh Mohammed Bin Zayed Al Nahyan, Crown Prince of Abu Dhabi.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"35″ x 43″ framed painting of shapes and lines in blue, grey, black, and purple. Brown leather portfolio",National Archives and Records Adminsitration.,2015-04-20,"1,040.00"
http://www.state.gov/documents/organization/263401.pdf,2015,3.24,"The Honorable Barack Obama, President of the United States.","His Excellency Shinzo Abe, Prime Minister of Japan.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"GPS solar analog wristwatch with steel link band, charcoal dial, and solar panel face",National Archives and Records Administration.,2015-04-27,"1,722.00"
http://www.state.gov/documents/organization/263401.pdf,2015,3.25,"The Honorable Barack Obama, President of the United States.","His Royal Highness Mohammed bin Naif bin Abdulaziz Al Saud, Crown Prince, Deputy Prime Minister, and Minister of Interior of the Kingdom of Saudi Arabia.",Non-acceptance would cause embarrassment to donor and U.S. Government.,36″ sword with handle made of mother-of-pearl and gold and a sheath of ruby-encrusted gold and handmade silver detail,National Archives and Records Administration.,2015-05-13,"87,900.00"
http://www.state.gov/documents/organization/263401.pdf,2015,3.26,"The Honorable Barack Obama, President of the United States.","His Highness Sheikh Mohammed Bin Zayed Al Nahyan, Crown Prince of Abu Dhabi.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Sterling silver coffee pot with beaded handle. Six small porcelain coffee cups. Two glass jars with silver lids. Box of assorted dates,National Archives and Records Administration. Perishable items handled pursuant to United States Secret Service policy.,2015-05-13,502.50
http://www.state.gov/documents/organization/263401.pdf,2015,3.27,"The Honorable Barack Obama, President of the United States.","His Highness Sayyid Fahd Bin Mahmoud Al Said, Deputy Prime Minister for the Council of Ministers of the Sultanate of Oman.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Large sterling silver coffee pot with detailed engravings,National Archives and Records Adminstration.,2015-05-13,"1,900.00"
http://www.state.gov/documents/organization/263401.pdf,2015,3.2800000000000002,"The Honorable Barack Obama, President of the United States.","His Highness Sheikh Sabah AlAhmed Al-Jaber Al-Sabah, Amir of the State of Kuwait.",Non-acceptance would cause embarrassment to donor and U.S. Government.,24″ x 15″ silver-coated resin sculpture of camels and Bedouin on a green marble base,Disposition –National Archives and Records Administration.,2015-05-14,"42,000.00"
http://www.state.gov/documents/organization/263401.pdf,2015,4.33,"The Honorable Barack Obama, President of the United States.","His Royal Highness Salman Bin Hamad Al Khalifa, Crown Prince of the Kingdom of Bahrain.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Sterling silver sphere that opens to display a clock under a magnifying glass on a wooden pedestal,National Archives and Records Administration.,2015-05-14,"10,064.00"
http://www.state.gov/documents/organization/263401.pdf,2015,4.34,"The Honorable Barack Obama, President of the United States.","His Excellency Lieutenant General Dr. Seretse Khama Ian Khama, President of the Republic of Botswana.",Non-acceptance would cause embarrassment to donor and U.S. Government.,31″ x 42″ framed pencil sketch portrait of President Obama,National Archives and Records Administration,2015-05-14,550.00
http://www.state.gov/documents/organization/263401.pdf,2015,4.35,"The Honorable Barack Obama, President of the United States.","His Highness Sheikh Tamim bin Hamad Al Thani, Emir of the State of Qatar.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"9″ gold-plated mechanical bird of a Common Chiffchaff that tweets, turns, and flaps its wings once per hour",National Archives and Records Administration.,2015-05-14,"110,000.00"
http://www.state.gov/documents/organization/263401.pdf,2015,4.36,"The Honorable Barack Obama, President of the United States.","His Excellency Beji Caid Essebsi, President of the Republic of Tunisia.",Non-acceptance would cause embarrassment to donor and U.S. Government.,12″ miniature replica palm tree made of silver filigree on a marble base,National Achives and Records Administration.,2015-05-21,"1,900.00"
http://www.state.gov/documents/organization/263401.pdf,2015,4.37,"The Honorable Barack Obama, President of the United States.","His Majesty King Willem-Alexander, King of the Netherlands.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Personalized bicycle made of black metal with bell. 10″ x 12″ framed inscribed photograph of the King and Queen of the Netherlands,National Archives and Records Administration.,2015-05-31,"1,600.00"
http://www.state.gov/documents/organization/263401.pdf,2015,4.38,"The Honorable Barack Obama, President of the United States.","His Excellency Horst Seehofer, Minister-President of Bavaria.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Gold-tone cufflinks engraved with Bavarian coat of arms. 20″ carved wooden statue of a barefoot man with a walking stick and red satchel. Trekking poles with wristbands attached at the top. Black traditional Bavarian jacket with green collar. Brown leather hiking boots. Black hiking socks,National Archives and Records Administration.,2015-06-07,"1,928.71"
http://www.state.gov/documents/organization/263401.pdf,2015,4.39,"The Honorable Barack Obama, President of the United States.","Dr. Saleem Al-Jabouri, Speaker of the Council of Representatives of the Republic of Iraq.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Ballpoint pen. Silver pocketwatch. USB drive,National Archives and Records Administration. USB drive handle pursuant to United States Secret Service policy.,2015-06-10,440.99
http://www.state.gov/documents/organization/263401.pdf,2015,4.4,"The Honorable Barack Obama, President of the United States.","Her Excellency Dilma Rousseff, President of the Federative Republic of Brazil.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Warm-up jacket for the Brazil Olympic Team. Rio 2016 white t-shirt. Book set of Brazilian classic literature in green leather-bound volumes. Silvertone cufflinks,National Archives and Records Administration.,2015-06-30,695.50
http://www.state.gov/documents/organization/263401.pdf,2015,5.45,"The Honorable Barack Obama, President of the United States.","His Excellency Muhammadu Buhari, President of the Federal Republic of Nigeria.",Non-acceptance would cause embarrassment to donor and U.S. Government.,7’ diameter circular leather mat with geometric pattern. Three 28″ diameter leather covers for seating pads,National Archives and Records Administration.,2015-07-19,"2,260.00"
http://www.state.gov/documents/organization/263401.pdf,2015,5.46,"The Honorable Barack Obama, President of the United States.","His Excellency Hailemariam Desalegn, Prime Minister of the Federal Democratic Republic of Ethiopia.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Two 41″ x 29″ framed photographs of then-Senator Obama’s 2006 visit to Ethiopia. Body sash in the colors of the Ethiopian flag. 16″ x 20″ black and silver Amharic number script art. Blue and silver neck tie with Amharic numbers,National Archives and Records Administration.,2015-07-27,747.95
http://www.state.gov/documents/organization/263401.pdf,2015,5.47,"The Honorable Barack Obama, President of the United States.","His Excellency Uhuru Kenyatta, President of the Republic of Kenya.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Book, title: Kenya. Book, title: Kenya the Beautiful. 12″ x 17″ miniature model of an elephant named Ahmed, known as the ‘‘King of Marsabit.’’ 31″ x 25″ painted black and white portrait of the First Family. 36″ x 25″ painted black and white portrait of President Obama. 24″ x 34″ framed oil painting of lions approaching zebras on the African plain",National Archives and Records Administration.,2015-07-27,"3,264.46"
http://www.state.gov/documents/organization/263401.pdf,2015,5.48,"The Honorable Barack Obama, President of the United States.","His Excellency Chum Bun Rong, Ambassador of the Kingdom of Cambodia to the United States.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"13″ x 10″ silver-tone plate with etching of Angkor Wat. Book, title: Cambodia’s Birds",National Archives and Records Administration.,2015-08-03,421.32
http://www.state.gov/documents/organization/263401.pdf,2015,5.49,"The Honorable Barack Obama, President of the United States.","His Excellency Ban Ki-moon, Secretary-General of the United Nations.",Non-acceptance would cause embarrassment to donor and U.S. Government.,66″ x 22″ framed parchment scroll with hand-painted calligraphy,National Archives and Records Administration.,2015-08-04,"1,200.00"
http://www.state.gov/documents/organization/263401.pdf,2015,6.54,"The Honorable Barack Obama, President of the United States.","The Custodian of the Two Holy Mosques Salman bin Abdulaziz Al Saud, King of the Kingdom of Saudi Arabia.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"26″ x 22″ hand-made and specially commissioned bronze sculpture depicting two horses, one rearing and unsaddled and one standing and saddled, made with gold-plated sterling silver, diamonds, tsavorites, yellow sapphires, rubies, and obsidian mounted on a piano black lacquer rotating base. Chronometer shaped like a large winch from wooden sail ships with gold-plated casing, brass dial, crystal glass, and detail along the sides naming celebrated ships that made significant voyages. Set of ten golf irons. Leather golf bag with white stitching",National Archives and Records Administration.,2015-09-03,"522,972.00"
http://www.state.gov/documents/organization/263401.pdf,2015,6.55,"The Honorable Barack Obama, President of the United States.","His Excellency Thomas Boni Yayi, President of the Republic of Benin.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"13.5″ painted ebony wooden hand lantern. 18″ x 27″ framed relief art of a woman carrying a basket on her shoulder. Ten pieces of Dutch cloth of varied patterns and colors. Twenty-nine table linen sets of various colors, each including a table cloth, a table runner, and place mats. Twelve bottles of champagne",National Archives and Records Administration.,2015-09-09,"9,054.88"
http://www.state.gov/documents/organization/263401.pdf,2015,6.5600000000000005,"The Honorable Barack Obama, President of the United States.","His Excellency Xi Jinping, President of the People’s Republic of China.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"15″ x 61″ x 12″ bronze sculpture of five oxen facing different directons along a plank with a plaque describing the artwork’s significance. Book, title: Friends of the Chinese People—Commemorative Stamps. Book, title: For Justice and Peace",National Archives and Records Administration.,2015-09-25,"3,840.00"
http://www.state.gov/documents/organization/263401.pdf,2015,6.57,"The Honorable Barack Obama, President of the United States.","His Majesty Sultan Haji Hassanal Bolkiah Mu’izzaddin Waddaulah, Sultan and Yang Di-Pertuan of Brunei Darussalam.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"14″ large silver teapot with ornate vine design, the symbol of Brunei on the side, a felt bottom, a lid with a knob, and a pivoting handle",National Archives and Records Administration.,2015-10-01,790.00
http://www.state.gov/documents/organization/263401.pdf,2015,6.58,"The Honorable Barack Obama, President of the United States.","His Excellency Joachim Gauck, President of the Federal Republic of Germany.",Non-acceptance would cause embarrassment to donor and U.S. Government.,Men’s stainless steel watch with leather band. Soccer ball in German National Team colors signed by the team. German National Team World Cup soccer jersey,National Archives and Records Administration.,2015-10-06,"2,659.99"
http://www.state.gov/documents/organization/263401.pdf,2015,7.63,"The Honorable Barack Obama, President of the United States.","His Excellency Ahmet Davutoğlu, Prime Minister of the Republic of Turkey.",Non-acceptance would cause embarrassment to donor and U.S. Government.,13″ x 13″ x 8″ Kismet chest decorated in multicolored glass,National Archives and Records Administration.,2015-10-16,"2,950.00"
http://www.state.gov/documents/organization/263401.pdf,2015,7.64,"The Honorable Barack Obama, President of the United States.","Her Excellency Park Geun-hye, President of the Republic of Korea.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Chest of dark wood with metal corners, latch and lock, and lid decorated with an ox horn panel depicting an 18th century royal procession",National Archives and Records Administration.,2015-10-16,"2,900.00"
http://www.state.gov/documents/organization/263401.pdf,2015,7.65,"The Honorable Barack Obama, President of the United States.","His Excellency Muhammad Non-ac Nawaz Sharif, Prime Minister of b the Islamic Republic of Pakistan. G",ceptance would cause emarrassment to donor and U.S. overnment.,Cufflinks with shell design. 11’ x 8’ rug of multicolored silk. Four framed pictures of President Obama’s mother working in Pakistan,National Archives and Records Administration.,2015-10-21,"23,615.00"
http://www.state.gov/documents/organization/263401.pdf,2015,7.66,"The Honorable Barack Obama, President of the United States.","His Excellency Joko Widodo, President of the Republic of Indonesia.",Non-acceptance would cause embarrassment to donor and U.S. Government.,13″ diameter round tray of polished silver with engraving around the edge and four spherical legs,National Archives and Records Administration.,2015-10-26,990.00
http://www.state.gov/documents/organization/263401.pdf,2015,7.67,"The Honorable Barack Obama, President of the United States.","His Excellency Recep Tayyip Erdoğan, President of the Republic of Turkey.",Non-acceptance would cause embarrassment to donor and U.S. Government.,"Necktie of woven Turkish Kutnu fabric. Four sheets of stamps commemorating the G20 summit. Silk neck tie with Turkey G20 logo. Two cotton bathrobes with matching 55″ monogrammed towels. Book, title: A Vision of Global Peace. 6.25″ silver-tone candy dish with star and crescent moon engraved into top and filled with Turkish delight candy. 12″ porcelain vase with lid",National Archives and Records Administration. Perishable items handled pursuant to United States Secret Service policy.,2015-11-15,"1,112.00"
http://www.state.gov/documents/organization/263401.pdf,2015,7.68,"The Honorable Barack Obama, President of the United States.","His Excellency Benigno Aquino, President of the Republic of the Philippines.",Non-acceptance would cause embarrassment to donor and U.S. Government.,20″ wood and metal sculpture of APEC member countries. 16″ x 8″ glass platter with brass banca boat handles. Tablet computer with case. Fifteen bottles of spirits. Banana chips. Chocolate-covered mangos,National Archives and Records Administration. Table and perishable items handled pursuant to United States Secret Service policy.,2015-11-18,"5,026.84"
http://www.state.gov/documents/organization/263401.pdf,2015,8.73,"The Honorable Barack Obama, President of the United States.","General Raheel Sharif, Chief of Army Staff of the Islamic Republic of Pakistan.",Non-acceptance would cause embarrassment to donor and U.S. Government.,70″ x 104″ rug made of silk in floral pattern with tassels,National Archives and Records Administration.,2015-11-20,"1,600.00"
