iid,id,gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field_cd,mn_sat,tuition,race,imprace,imprelig,zipcode,income,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es,attr1_s,sinc1_s,intel1_s,fun1_s,amb1_s,shar1_s,attr3_s,sinc3_s,intel3_s,fun3_s,amb3_s,satis_2,length,numdat_2,attr7_2,sinc7_2,intel7_2,fun7_2,amb7_2,shar7_2,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr4_2,sinc4_2,intel4_2,fun4_2,amb4_2,shar4_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2,attr5_2,sinc5_2,intel5_2,fun5_2,amb5_2,you_call,them_cal,date_3,numdat_3,num_in_3,attr1_3,sinc1_3,intel1_3,fun1_3,amb1_3,shar1_3,attr7_3,sinc7_3,intel7_3,fun7_3,amb7_3,shar7_3,attr4_3,sinc4_3,intel4_3,fun4_3,amb4_3,shar4_3,attr2_3,sinc2_3,intel2_3,fun2_3,amb2_3,shar2_3,attr3_3,sinc3_3,intel3_3,fun3_3,amb3_3,attr5_3,sinc5_3,intel5_3,fun5_3,amb5_3
87,12,0,23,2,4,18,9,,11,17,110,0,0.52,1,28,2,20,20,15,15,5,25,1,7,8,8,7,9,,7,4,2,23,11,,,2,8,10,"7,746",,1,3,2,9,10,5,10,8,7,7,8,4,9,9,6,7,10,9,10,7,9,4,10,15,15,20,15,15,20,,,,,,,15,15,20,15,15,20,9,9,9,9,9,,,,,,0,4,3,6,7,5,2,5,7,2,,,,,,,,,,,,,1,3,2,,,,,,,25,15,20,25,10,5,,,,,,,,,,,,,9,9,9,9,9,,,,,,0,1,0,,,50,15,20,15,20,10,,,,,,,,,,,,,,,,,,,10,10,9,10,10,,,,,
262,11,0,21,2,11,21,17,17,8,19,291,0,0.62,0,27,4,20,20,15,15,12,18,1,5,10,9,7,6,6,5,7,2,29,3,,,2,1,10,,,6,6,3,10,9,9,8,7,7,3,7,1,3,10,4,1,7,5,8,1,1,1,,10,40,20,20,0,10,17,17,17,17,16,16,20,10,10,20,10,30,6,10,5,9,3,6,10,9,4,5,0,7,8,8,7,8,6,7,4,0,1,10,30,10,10,10,30,6,9,9,5,3,7,3,2,,,,,,,10,30,10,10,10,30,17,16,16,17,17,17,30,10,10,20,10,20,6,9,9,6,3,7,9,10,6,5,0,0,0,0,,10,30,20,15,5,20,20,30,10,10,20,10,17,16,16,17,17,17,20,20,10,20,5,25,6,9,9,5,3,7,9,10,6,5
218,5,1,10,2,9,20,12,19,14,9,202,0,-0.03,1,22,2,15.38,19.23,19.23,19.23,15.38,11.54,0,6,8,9,6,8,7,6,5,2,24,10,,,2,9,5,"80,798",,1,4,2,2,9,3,5,7,9,10,7,3,7,5,1,5,7,8,8,6,1,3,,20.51,5.13,23.08,12.82,17.95,20.51,10,5,2,4,2,4,17.39,19.57,15.22,19.57,15.22,13.04,7,6,3,10,10,,,,,,1,6,6,8,5,5,6,5,5,2,,16.67,4.76,23.81,11.9,23.81,19.05,7,5,10,3,10,4,3,2,,,,,,,20,5,22.5,12.5,20,20,10,5,4,6,4,4,17.95,17.95,17.95,20.51,12.82,12.82,7,4,10,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,17,1,34,2,4,18,14,,16,5,80,0,0.17,0,27,4,10,20,20,10,20,20,0,6,,8,8,8,8,8,7,2,28,14,,,2,4,6,"48,334","52,804.00",2,6,1,6,4,3,8,7,7,9,8,2,3,7,5,7,9,7,8,3,6,6,3,20,20,15,15,5,25,,,,,,,20,20,15,15,5,25,7,9,8,8,7,,,,,,0,6,8,8,6,9,,5,2,2,3,,,,,,,,,,,,6,1,2,,,,,,,30,10,10,20,10,20,,,,,,,,,,,,,7,9,9,8,8,,,,,,1,0,0,,,20,15,20,15,15,15,,,,,,,,,,,,,,,,,,,8,6,10,8,8,,,,,
223,10,1,20,2,9,20,1,18,4,17,210,0,0.06,1,29,2,20,15.56,20,15.56,11.11,17.78,0,4,10,8,1,,,7,7,2,28,7,,,2,6,6,"29,501","27,248.00",2,4,2,2,8,7,6,6,8,7,6,7,8,9,6,5,10,6,7,5,2,7,,17.39,17.39,19.57,19.57,10.87,15.22,9,5,2,7,2,2,27.59,6.9,13.79,20.69,24.14,6.9,7,8,7,9,6,,,,,,1,9,9,9,8,7,7,8,6,2,,19.05,16.67,19.05,19.05,9.52,16.67,7,8,9,8,4,7,3,3,,,,,,,19.05,16.67,19.05,19.05,9.52,16.67,8,3,4,8,3,5,21.62,13.51,10.81,21.62,18.92,13.51,7,8,9,7,4,,,,,,0,0,0,,,19.51,17.07,19.51,19.51,7.32,17.07,,,,,,,9,4,5,8,2,5,9,3,6,5,9,,7,8,9,6,3,,,,,
370,10,1,20,2,14,20,4,4,20,16,356,0,0.46,1,27,2,15,25,20,20,0,20,0,,,,,,,,,,28,8,"1,360.00","26,062.00",2,7,4,"11,363","55,704.00",3,4,1,7,7,8,7,7,6,6,3,1,6,7,2,2,2,5,9,4,1,7,,50,10,10,10,10,10,50,10,10,10,10,10,30,10,20,10,20,10,8,6,9,9,9,8,6,9,9,9,0,,,,,,,,,,2,,,,,,,,,,,,6,3,2,,,,,,,50,5,15,10,15,5,40,10,10,5,15,10,40,10,10,10,20,10,8,7,8,9,10,8,7,8,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,13,1,26,2,2,19,6,,18,16,36,0,-0.15,1,26,2,20,25,20,15,15,5,0,1,5,5,2,5,2,3,6,2,21,1,,,2,10,9,"11,204","26,482.00",1,4,1,1,8,5,3,6,3,4,3,3,3,3,7,4,6,3,5,4,2,5,1,15,20,15,30,5,15,,,,,,,10,15,20,20,25,10,5,8,6,8,7,,,,,,1,6,6,6,7,5,5,6,3,2,2,,,,,,,,,,,,4,1,2,,,,,,,30,20,10,20,10,10,,,,,,,,,,,,,5,7,8,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,8,0,15,2,11,21,1,1,15,6,278,0,0.59,1,32,2,25,15,20,25,10,5,1,6,5,5,3,5,5,8,8,1,25,10,"1,410.00","17,125.00",2,2,2,"77,546","48,944.00",2,7,1,2,8,3,7,8,7,7,4,2,7,8,6,7,7,5,7,5,6,5,,15,18,19,19,17,12,15,17,16,18,17,17,17,18,16,18,13,18,7,9,8,8,9,7,6,8,8,9,0,7,7,8,6,5,6,7,4,1,2,17,18,18,16,15,12,,,,,,5,1,2,,,,,,,17,18,19,18,16,12,17,18,15,18,16,16,18,18,15,18,14,17,7,8,8,7,8,7,4,8,7,8,0,0,0,,,17,18,18,18,17,12,18,18,15,18,17,14,18,18,17,18,13,16,18,16,16,18,14,18,7,9,7,8,9,7,4,7,7,8
99,6,1,12,2,4,18,10,,7,2,77,1,0.55,1,22,2,15,20,20,20,15,10,1,10,7,8,7,9,9,10,5,2,28,1,,,2,1,1,"10,022","55,419.00",3,3,2,1,5,5,5,8,10,10,5,5,9,6,6,10,10,10,10,8,5,8,18,30,30,20,10,10,0,,,,,,,20,20,20,10,25,5,10,10,10,10,8,,,,,,1,8,8,9,8,8,9,8,9,2,10,,,,,,,,,,,,5,2,2,,,,,,,45,20,15,20,0,0,,,,,,,,,,,,,10,8,10,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,14,0,27,2,14,18,19,19,17,7,367,0,0.27,1,27,2,30,15,20,25,5,5,0,7,8,7,8,7,8,7,7,2,22,3,"1,210.00","23,500.00",2,9,8,"10,128","49,409.00",1,6,1,3,10,10,10,10,8,8,1,1,1,8,10,10,10,10,10,10,6,7,,20,10,20,20,20,10,25,5,20,15,17,18,40,5,10,25,15,15,7,7,10,8,8,7,8,8,10,8,0,2,8,6,4,4,10,5,7,0,12,,,,,,,,,,,,7,1,3,,,,,,,15,15,15,20,15,20,20,15,15,15,15,20,25,15,10,20,15,15,7,8,8,10,9,6,8,9,10,9,1,4,0,,,15,15,15,20,15,20,10,10,20,20,20,20,20,15,15,15,20,15,25,10,15,20,10,20,7,8,9,10,9,6,8,8,10,8
