Type,Code,Area,All Residents,Age 0 to 4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85 to 89,Age 90 and Over
Country,K02000001,United Kingdom,63182175,3913932,3516698,3669311,3996426,4297158,4306308,4125454,4194421,4625637,4643071,4094427,3614087,3807952,3017482,2462751,2006005,1604771,846836,439248
Country,K04000001,England and Wales,56075912,3496750,3135711,3258677,3539385,3807245,3836609,3683915,3732161,4099089,4100526,3601694,3183915,3377162,2674161,2178672,1777547,1338005,825671,429017
Country,E92000001,England,53012456,3318449,2972632,3080929,3340265,3595321,3650881,3509221,3549116,3885934,3879815,3400095,2996992,3172277,2508154,2044129,1669345,1258773,776311,403817
Country,W92000004,Wales,3063456,178301,163079,177748,199120,211924,185728,174694,183045,213155,220711,201599,186923,204885,166007,134543,108202,79232,49360,25200
Country,N92000002,Northern Ireland,1810863,124382,111287,119034,126241,126013,124099,119839,122260,131848,131645,116933,99272,94290,82121,63479,50358,36366,21165,10231
Country,S92000003,Scotland,5295400,292800,269700,291600,330800,363900,345600,321700,340000,394700,410900,375800,330900,336500,261200,220600,178100,230400,,
England Region,E12000001,North East,2596886,149843,136299,145045,169440,184018,164303,151152,157149,183232,196020,181379,160945,168576,128511,110731,89861,65002,37546,17834
England Region,E12000002,North West,7052177,432091,392166,412407,456837,489640,466582,429685,450049,514802,522351,465140,409628,439644,342240,285502,227350,167246,99316,49501
England Region,E12000003,Yorkshire and The Humber,5283733,328447,297475,306096,348645,382679,347304,321328,337891,382902,381984,343804,305278,325329,252608,211241,170823,125598,75868,38433
England Region,E12000004,East Midlands,4533222,270174,247564,264538,295914,307676,278581,267803,291852,335883,340232,298725,269931,291401,232160,182553,146526,110043,67862,33804
England Region,E12000005,West Midlands,5601847,354801,327060,340758,369312,380909,363286,343295,360103,406247,404030,351121,319685,335265,279804,225885,181119,135875,82016,41276
England Region,E12000006,East,5846965,361269,328512,345453,358697,352974,362643,363808,387651,432514,435701,380369,340626,372566,294329,237064,198778,151359,93653,48999
England Region,E12000007,London,8173941,591495,482809,456865,471659,629972,832966,796888,664046,610020,556656,461290,371936,342590,256772,216286,176831,131830,80574,42456
England Region,E12000008,South East,8634750,534235,488058,512875,541684,534287,528057,538471,578011,644796,653258,567834,495765,535399,424290,339405,282391,218727,139576,77631
England Region,E12000009,South West,5288935,296094,272689,296892,328077,333166,307159,296791,322364,375538,389583,350433,323198,361507,297440,235462,195666,153093,99900,53883
