Latitude, Aircraft.Damage, Longitude
43.768334, 2, -3
66.060833, 2, -7
26.589444, 2, -4
47.289722, 2, -5
30.166667, 2, -4
40.450833, 2, -4
30.856667, 2, -4
39.738889, 3, -4
43.991389, 2, -4
39.505, 2, -4
43.714167, 2, -3
42.819723, 3, -5
14.060833, 2, -4
33.269723, 2, -5
59.64, 2, -7
41.195833, 3, -5
46.219723, 2, -5
34.225556, 3, -5
61.174445, 2, -7
61.255278, 2, -7
39.192222, 2, -5
39.224723, 2, -5
40.038889, 3, -3
38.335, 3, -4
37.658889, 2, -6
34.351944, 2, -4
37.268334, 2, -5
57.566945, 2, -7
31.938889, 2, -5
32.239166, 2, -4
41.211389, 2, -5
38.938055, 2, -4
37.7475, 2, -4
43.833889, 2, -5
37.667778, 2, -4
60.573334, 2, -7
40.524723, 2, -4
34.870834, 2, -5
42.469723, 2, -3
38.805833, 1, -5
40.354444, 1, -3
22.35, 2, 5
36.454722, 2, -5
34.112778, 2, -4
35.7, 2, -5
40.412222, 2, -4
47.825556, 2, -4
33.803333, 2, -5
33.72, 2, -4
42.859444, 2, -3
34.265278, 2, -5
38.417778, 3, -5
48.079723, 2, -5
36.165556, 2, -4
59.61, 2, -7
40.164722, 2, -5
39.99, 2, -3
33.635277, 2, -4
34.618611, 2, -4
37.704722, 2, -6
43.178611, 2, -3
43.9875, 2, -3
37.833333, 2, -6
30.776945, 2, -4
30.971389, 2, -4
38.181667, 2, -4
28.55, 2, -4
32.3375, 2, 5
37.505278, 2, -3
29.647222, 2, -4
41.1325, 2, -3
33.688055, 3, -5
39.861389, 1, -5
34.73, 2, -6
35.5375, 3, -5
28.977778, 3, -4
39.375, 2, -3
34.15, 3, -5
45.8075, 2, -5
43.984166, 2, -4
36.227222, 2, -5
35.918889, 2, -3
37.15, 2, -5
34.248611, 2, -4
38.450833, 2, -4
36.8675, 2, -4
41.491389, 2, -3
44.823056, 2, -4
47.682778, 2, -5
47.423334, 2, -4
31.789444, 2, -4
39.506111, 2, -5
31.881111, 2, -5
46.662222, 2, -5
37.332778, 2, -6
44.289444, 2, -3
36.963889, 2, -4
43.513611, 2, -5
35.615556, 2, -5
34.272778, 2, -4
32.727223, 2, -4
39.695833, 2, -3
33.9425, 2, -5
33.184444, 3, -4
42.5625, 2, -4
34.263611, 2, -5
33.060833, 2, -4
40.961667, 3, -4
40.083611, 2, -4
37.977778, 2, -4
41.709167, 2, -4
30.042222, 2, -4
61.03, 3, -7
32.409444, 2, -5
44.046944, 3, -4
43.606667, 2, -5
60.283611, 2, -7
62.975, 2, -7
29.976667, 2, -4
41.565, 2, -4
37.618056, 2, -6
46.064444, 2, -6
40.0775, 2, -5
26.335833, 2, -4
29.817223, 3, -4
33.500278, 2, -5
33.582778, 2, -5
44.1175, 1, -3
41.136944, 2, -4
35.218056, 2, -5
44.266945, 2, -4
61.394444, 2, -7
63.389722, 2, -7
35.383333, 2, -4
61.571667, 2, -7
28.781667, 2, -4
45.133056, 2, -6
36.484722, 2, -4
33.191666, 3, -4
29.976667, 2, -4
29.08, 2, -4
36.190277, 2, -4
40.6175, 2, -3
59.115, 3, 0
37.937222, 2, -5
41.969445, 2, -3
61.466667, 2, -7
61.916667, 2, -7
32.446666, 3, -5
9.066667, 3, -3
59.668611, 2, -7
38.264722, 3, -5
39.316667, 2, -3
40.961667, 2, -4
46.606667, 2, -6
30.533056, 2, -4
42.703333, 2, -4
-37.033333, 3, 7
33.45, 2, -5
47.819167, 2, -6
30.211944, 2, -4
28.289722, 2, -4
30.19, 1, -4
48.593333, 2, -6
32.565278, 2, -4
41.307222, 2, -5
33.564722, 3, -4
40.824723, 2, -5
32.4, 2, -5
41.509722, 2, -3
37.538333, 2, -5
38.533333, 2, -5
27.758611, 2, -4
63.283333, 2, -7
29.988889, 2, -4
45.795555, 2, -5
41.354722, 2, -5
32.736944, 2, -4
28.341666, 2, -4
43.508056, 2, -5
29.966667, 2, -4
41.790555, 2, 0
38.351389, 2, -4
48.058611, 2, -5
32.331111, 2, -5
39.839166, 3, -5
19.959444, 3, 1
37.977778, 2, -4
42.716667, 2, -5
