@relation 2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A5-N200-T1.0E-4_clustered

@attribute Instance_number numeric
@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
0,0.010188,0.008353,-0.013868,0.018497,1,cluster1
1,0.000515,0.004544,-0.017224,0.019063,1,cluster1
2,0.000602,0.000225,-0.02141,0.01603,1,cluster6
3,0.018225,0.000732,-0.021528,0.010524,0,cluster5
4,0.035354,0.011608,-0.011585,0.012393,1,cluster5
5,0.009536,0.00512,-0.016977,0.016464,1,cluster1
6,0.009754,0.012135,-0.010189,0.021271,1,cluster1
7,0.000932,0.005188,-0.016614,0.019372,0,cluster1
8,-0.004877,0.011405,0.005521,-0.000894,1,cluster2
9,0.014128,-0.011864,0.003884,0.025399,0,cluster4
10,0.002237,0.011655,-0.010394,0.023437,1,cluster1
11,-0.000544,0.007359,-0.01446,0.021373,1,cluster1
12,-0.005922,0.005731,-0.015851,0.022029,0,cluster1
13,0.009727,0.009868,-0.012384,0.019703,1,cluster1
14,-0.000671,-0.010235,0.005973,0.031452,1,cluster4
15,-0.002458,-0.004501,-0.025882,0.01376,0,cluster6
16,0.012413,0.01179,-0.010615,0.020147,1,cluster1
17,-0.004969,-0.015042,0.017378,0.003016,1,cluster0
18,-0.015851,-0.014058,-0.034677,0.011566,0,cluster6
19,-0.001571,0.001321,-0.020273,0.017515,1,cluster6
20,-0.00196,0.000326,-0.005311,-0.009569,1,cluster2
21,0.004413,-0.013514,0.002621,0.027482,0,cluster4
22,0.005333,-0.016544,-0.000346,0.025068,0,cluster4
23,-0.00068,-0.016928,-0.00051,0.0268,0,cluster4
24,-0.000532,-0.01002,0.006177,0.031556,1,cluster4
25,-0.005754,0.012275,0.006395,0.000003,1,cluster2
26,-0.009722,0.012825,0.007065,0.001705,1,cluster2
27,0.012665,-0.012702,-0.018436,-0.023493,1,cluster3
28,0.003731,-0.017597,-0.022869,-0.023927,0,cluster3
29,0.005244,0.011847,-0.010312,0.022571,1,cluster1
30,-0.010334,0.01188,0.00617,0.001251,1,cluster2
31,-0.001676,-0.007746,-0.029053,0.011243,1,cluster6
32,-0.003604,0.002633,-0.018932,0.019103,1,cluster6
33,-0.004039,-0.011379,0.020894,0.005255,1,cluster0
34,-0.008752,-0.000867,-0.022144,0.018381,1,cluster6
35,0.003148,0.001932,-0.019845,0.016371,1,cluster6
36,0.040722,-0.019762,-0.004686,0.011064,1,cluster4
37,0.003299,0.003998,-0.001936,-0.008764,1,cluster2
38,-0.003827,0.001896,-0.003726,-0.007857,1,cluster2
39,-0.009857,0.005938,0.000398,-0.00304,1,cluster2
40,0.044974,0.010883,-0.012619,0.008691,0,cluster5
41,-0.001923,0.007063,0.001213,-0.004896,1,cluster2
42,-0.010495,0.00312,-0.018222,0.021733,0,cluster6
43,0.001263,0.010152,-0.011817,0.022714,1,cluster1
44,0.000302,0.0105,0.004466,-0.003245,1,cluster2
45,-0.000415,0.00088,-0.02074,0.016824,1,cluster6
46,0.011582,-0.013571,0.002318,0.025058,1,cluster4
47,-0.010933,0.01318,0.00745,0.002355,1,cluster2
48,0.010505,0.012902,0.00644,-0.004967,1,cluster2
49,-0.007584,0.000937,-0.020437,0.019247,1,cluster6
50,0.001988,0.008651,0.002617,-0.005092,1,cluster2
51,0.001489,0.006047,-0.015801,0.019785,1,cluster1
52,-0.001796,0.005426,-0.016289,0.020445,1,cluster1
53,0.005995,0.012614,0.006317,-0.003668,1,cluster2
54,0.005886,0.008387,-0.013686,0.019951,0,cluster1
55,0.01905,-0.004672,-0.026791,0.006491,1,cluster5
56,-0.006493,0.013361,0.007472,0.001004,1,cluster2
57,0.023457,0.004361,-0.018193,0.011308,0,cluster5
58,0.003216,-0.015755,0.016404,-0.000201,1,cluster0
