@relation 2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.Remove-R3-4_clustered

@attribute Instance_number numeric
@attribute Age numeric
@attribute Income numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12}

@data
0,33,25000,1,cluster1
1,28,43000,1,cluster1
2,30,63000,1,cluster3
3,42,60000,0,cluster2
4,49,9000,1,cluster10
5,34,40000,1,cluster1
6,31,7500,1,cluster6
7,28,40000,0,cluster8
8,26,16000,1,cluster7
9,33,22000,0,cluster6
10,26,10000,1,cluster7
11,26,30000,1,cluster8
12,23,37740,0,cluster8
13,32,18000,1,cluster6
14,22,15000,1,cluster7
15,30,85000,0,cluster3
16,33,9000,1,cluster6
17,26,42000,1,cluster8
18,25,129756,0,cluster5
19,28,58000,1,cluster11
20,33,67200,1,cluster3
21,27,30000,0,cluster8
22,29,44000,0,cluster1
23,25,46000,0,cluster11
24,22,14000,1,cluster7
25,25,12000,1,cluster7
26,22,9600,1,cluster7
27,49,127000,1,cluster9
28,45,150000,0,cluster9
29,28,9000,1,cluster7
30,22,14000,1,cluster7
31,32,100000,1,cluster5
32,26,52000,1,cluster11
33,25,25000,1,cluster8
34,24,68400,1,cluster11
35,31,55000,1,cluster1
36,55,57600,1,cluster4
37,35,50000,1,cluster1
38,31,60000,1,cluster3
39,25,41500,1,cluster8
40,56,12000,0,cluster4
41,30,36000,1,cluster1
42,21,50000,0,cluster11
43,26,17000,1,cluster7
44,30,20000,1,cluster6
45,29,60000,1,cluster11
46,32,30000,1,cluster1
47,21,8000,1,cluster7
48,36,8500,1,cluster6
49,24,60000,1,cluster11
50,32,28500,1,cluster1
51,28,36000,1,cluster8
52,26,39000,1,cluster8
53,33,10000,1,cluster6
54,30,25000,0,cluster8
55,45,85000,1,cluster12
56,24,7000,1,cluster7
57,44,43000,0,cluster2
58,32,45000,1,cluster1
59,23,10000,1,cluster7
60,36,12000,1,cluster6
61,42,40000,1,cluster2
62,46,30000,1,cluster10
63,28,48000,1,cluster1
64,32,35000,1,cluster1
65,43,12000,1,cluster10
66,22,45000,1,cluster8
67,25,65000,0,cluster11
68,26,15000,1,cluster7
69,35,46000,0,cluster1
70,45,80000,1,cluster12
