@relation 2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5_clustered

@attribute Instance_number numeric
@attribute Age numeric
@attribute Income numeric
@attribute IsEthnicMinority numeric
@attribute IsSoftwareDev numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1}

@data
0,33,25000,0,0,1,cluster1
1,28,43000,0,0,1,cluster1
2,30,63000,0,0,1,cluster1
3,42,60000,0,0,0,cluster1
4,49,9000,0,0,1,cluster1
5,34,40000,0,0,1,cluster1
6,31,7500,0,0,1,cluster1
7,28,40000,0,0,0,cluster1
8,26,16000,0,1,1,cluster0
9,33,22000,1,0,0,cluster1
10,26,10000,0,0,1,cluster1
11,26,30000,0,0,1,cluster1
12,23,37740,0,0,0,cluster1
13,32,18000,0,0,1,cluster1
14,22,15000,1,0,1,cluster1
15,30,85000,0,0,0,cluster1
16,33,9000,0,0,1,cluster1
17,26,42000,1,1,1,cluster0
18,25,129756,0,0,0,cluster1
19,28,58000,0,0,1,cluster1
20,33,67200,0,1,1,cluster0
21,27,30000,1,0,0,cluster1
22,29,44000,1,0,0,cluster1
23,25,46000,1,0,0,cluster1
24,22,14000,1,0,1,cluster1
25,25,12000,0,1,1,cluster0
26,22,9600,0,1,1,cluster0
27,49,127000,0,1,1,cluster0
28,45,150000,0,1,0,cluster0
29,28,9000,0,0,1,cluster1
30,22,14000,0,1,1,cluster0
31,32,100000,0,0,1,cluster1
32,26,52000,0,0,1,cluster1
33,25,25000,1,1,1,cluster0
34,24,68400,0,0,1,cluster1
35,31,55000,0,0,1,cluster1
36,55,57600,1,0,1,cluster1
37,35,50000,0,1,1,cluster0
38,31,60000,0,1,1,cluster0
39,25,41500,0,1,1,cluster0
40,56,12000,0,0,0,cluster1
41,30,36000,0,1,1,cluster0
42,21,50000,0,0,0,cluster1
43,26,17000,0,0,1,cluster1
44,30,20000,0,1,1,cluster0
45,29,60000,0,0,1,cluster1
46,32,30000,1,0,1,cluster1
47,21,8000,0,1,1,cluster0
48,36,8500,0,1,1,cluster0
49,24,60000,0,0,1,cluster1
50,32,28500,0,1,1,cluster0
51,28,36000,0,0,1,cluster1
52,26,39000,0,0,1,cluster1
53,33,10000,0,1,1,cluster0
54,30,25000,0,0,0,cluster1
55,45,85000,0,0,1,cluster1
