@relation '2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1_clustered'

@attribute Instance_number numeric
@attribute '0.72 Income+0.685Age+0.093IsSoftwareDev-0.062IsEthnicMinority' numeric
@attribute -0.767IsSoftwareDev+0.568IsEthnicMinority+0.274Age-0.113Income numeric
@attribute -0.799IsEthnicMinority-0.449IsSoftwareDev+0.284Age-0.28Income numeric
@attribute 0.625Income-0.613Age-0.448IsSoftwareDev-0.185IsEthnicMinority numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12}

@data
0,-0.254771,0.423055,1.029939,-0.066729,1,cluster4
1,-0.315523,0.196385,0.71285,0.627612,1,cluster1
2,0.257606,0.201264,0.626235,0.82587,1,cluster9
3,1.214545,0.618481,1.07178,-0.137059,0,cluster7
4,0.779018,1.017193,1.718169,-1.560632,1,cluster6
5,0.132681,0.409724,0.947394,0.119898,1,cluster4
6,-0.777456,0.410291,1.096936,-0.221237,1,cluster4
7,-0.376055,0.205847,0.736393,0.575113,0,cluster1
8,-0.837316,-1.367987,-0.07187,-0.615607,1,cluster11
9,-0.460723,1.772434,-0.830658,-0.554973,0,cluster12
10,-1.150959,0.232508,0.901483,0.201858,1,cluster1
11,-0.747409,0.169428,0.744534,0.551853,1,cluster1
12,-0.845603,0.043077,0.578294,0.914909,0,cluster9
13,-0.480803,0.411154,1.049705,-0.113359,1,cluster4
14,-1.534648,1.420736,-1.162562,0.157089,1,cluster0
15,0.701511,0.131875,0.45359,1.210865,0,cluster9
16,-0.577611,0.473519,1.155499,-0.346726,1,cluster7
17,-0.45812,-0.110074,-2.160044,-0.596357,1,cluster8
18,1.180629,-0.179184,-0.073466,2.373431,0,cluster6
19,-0.01286,0.149075,0.595138,0.890109,1,cluster9
20,0.789298,-1.291615,-0.227492,-0.250703,1,cluster10
21,-0.808039,1.543324,-1.10444,0.04024,0,cluster0
22,-0.355975,1.567127,-1.14397,0.133499,0,cluster0
23,-0.654778,1.424901,-1.300333,0.471975,0,cluster0
24,-1.554826,1.42389,-1.154714,0.139589,1,cluster0
25,-1.002815,-1.38935,-0.075647,-0.609737,1,cluster11
26,-1.305609,-1.483719,-0.162313,-0.424129,1,cluster10
27,3.352542,-0.936551,-0.134101,-0.418122,1,cluster6
28,3.477467,-1.145012,-0.455261,0.287849,0,cluster6
29,-1.001558,0.303621,0.979665,0.03262,1,cluster4
30,-1.216828,-1.497597,-0.196842,-0.34713,1,cluster10
31,1.173752,0.152524,0.406212,1.321623,1,cluster9
32,-0.303504,0.100039,0.571889,0.936849,1,cluster9
33,-0.885927,-0.090436,-2.061804,-0.817985,1,cluster8
34,-0.142171,-0.019646,0.372857,1.375583,1,cluster9
35,0.180975,0.260475,0.724181,0.610002,1,cluster1
36,2.122961,2.407702,-0.336357,-1.601102,1,cluster6
37,0.611823,-1.169407,-0.022182,-0.703437,1,cluster11
38,0.474441,-1.336865,-0.241324,-0.224963,1,cluster10
39,-0.407579,-1.482394,-0.307147,-0.093494,1,cluster2
40,1.433076,1.245588,1.940795,-2.039216,0,cluster6
41,-0.094608,-1.295148,-0.088152,-0.569088,1,cluster11
42,-0.767805,-0.063551,0.41175,1.281195,0,cluster9
43,-1.009716,0.21043,0.846551,0.324356,1,cluster1
44,-0.417448,-1.244684,0.037408,-0.849085,1,cluster11
45,0.112284,0.176746,0.61461,0.849239,1,cluster9
46,-0.384092,1.713222,-0.928605,-0.339106,1,cluster12
47,-1.422682,-1.512652,-0.184924,-0.37626,1,cluster10
48,-0.140754,-1.004535,0.338655,-1.505547,1,cluster5
49,-0.311662,0.006848,0.438776,1.228585,1,cluster9
50,-0.076361,-1.203534,0.041038,-0.852075,1,cluster11
51,-0.456765,0.218463,0.767783,0.505114,1,cluster1
52,-0.565811,0.141042,0.673906,0.709352,1,cluster9
53,-0.364855,-1.111205,0.221383,-1.25169,1,cluster5
54,-0.509139,0.321116,0.924439,0.160878,0,cluster4
55,1.973351,0.641569,0.981094,0.072828,1,cluster7
56,-1.188492,-1.40756,-0.071576,-0.621367,1,cluster11
57,1.041107,0.740058,1.275521,-0.586294,0,cluster7
58,0.111148,0.084341,-1.972585,-0.999073,1,cluster8
59,-1.212749,-1.451001,-0.130286,-0.492999,1,cluster10
60,-0.262711,0.565996,1.237457,-0.521834,1,cluster7
61,1.003574,-0.900009,0.302461,-1.409519,1,cluster5
62,0.948378,0.84902,1.447872,-0.965529,1,cluster7
63,-0.022057,-1.400956,-0.252655,-0.207353,1,cluster10
64,0.054793,-1.224035,-0.00997,-0.738326,1,cluster11
65,0.330815,0.803853,1.483626,-1.052918,1,cluster7
66,-0.591325,-1.595371,-0.440114,0.195363,1,cluster2
67,-0.078827,-0.216596,-2.375703,-0.117993,0,cluster8
68,-1.050071,0.216738,0.862246,0.289357,1,cluster1
69,0.338535,0.42478,0.935476,0.149028,0,cluster4
70,1.872463,0.657339,1.020331,-0.014671,1,cluster7
71,-0.687914,-1.296873,0.006312,-0.784845,1,cluster11
72,-0.408252,0.305346,0.885201,0.248377,1,cluster4
73,0.047891,0.375745,0.912227,0.195767,1,cluster4
74,-1.039091,-1.336446,0.006605,-0.790605,1,cluster11
75,-1.06209,0.313083,1.003207,-0.019879,1,cluster4
76,0.843192,0.582062,1.079921,-0.160319,1,cluster7
77,0.334456,0.378184,0.868919,0.294896,1,cluster4
78,0.011616,0.428649,0.994479,0.0149,1,cluster4
79,-1.203552,0.099029,0.717508,0.604463,1,cluster1
80,-0.946362,-1.445408,-0.165746,-0.41137,1,cluster10
81,1.600302,-1.560086,-0.74734,0.900893,1,cluster3
82,-1.015053,-1.529137,-0.275317,-0.172133,1,cluster10
83,-0.396452,-0.027131,0.403609,1.304454,1,cluster9
84,-0.457803,-1.238376,0.053103,-0.884084,1,cluster11
85,0.22927,0.111226,0.500968,1.100106,1,cluster9
86,-1.470288,-1.599678,-0.302696,-0.118736,1,cluster2
87,-0.740507,-1.430352,-0.177664,-0.38224,0,cluster10
88,0.705809,0.414603,0.860778,0.318156,1,cluster4
89,2.299013,-1.055271,-0.133221,-0.435401,1,cluster6
90,-0.226873,0.040828,0.473943,1.152716,0,cluster9
91,0.778482,1.909363,-0.835609,-0.526064,0,cluster12
92,0.490442,-0.022181,-2.188244,-0.520709,1,cluster8
93,-0.582141,-1.266174,0.033317,-0.842515,1,cluster11
94,0.050714,-1.270631,-0.076527,-0.592458,1,cluster11
95,0.508333,0.728872,1.346442,-0.749552,1,cluster7
96,2.910332,1.298073,1.775118,-1.654442,1,cluster6
97,-0.825297,-1.464332,-0.212831,-0.306371,1,cluster10
98,0.486241,-1.669343,-0.722917,0.831115,1,cluster3
99,-0.788802,-1.281103,0.045549,-0.872344,1,cluster11
100,-0.094827,-1.531281,-0.428783,0.177753,1,cluster2
101,1.848864,1.322295,1.983516,-2.126826,1,cluster6
102,1.117956,0.916979,1.518206,-1.117267,1,cluster7
103,2.875345,-1.948326,-1.515806,2.604352,0,cluster6
104,-1.445682,0.136877,0.811678,0.394466,1,cluster1
105,-0.684054,-1.48641,-0.267763,-0.183873,0,cluster10
106,-0.530705,-1.510381,-0.327404,-0.050874,1,cluster2
107,-0.537475,0.231079,0.799173,0.435115,0,cluster1
108,1.424381,2.044566,-0.746097,-0.712912,0,cluster12
109,-0.191636,-1.468915,-0.322989,-0.055614,1,cluster2
110,-0.670778,0.110216,0.646587,0.767721,1,cluster9
111,-0.57783,0.237387,0.814868,0.400115,1,cluster1
112,-0.706835,0.399252,1.06947,-0.159988,0,cluster4
113,-0.517254,0.275151,0.859451,0.303246,1,cluster1
114,-0.587027,-1.312643,-0.032926,-0.697347,1,cluster11
115,2.343609,-0.502673,-0.730205,3.830292,1,cluster6
116,-0.662619,0.203407,0.779701,0.475984,1,cluster1
117,2.578676,0.546949,0.745669,0.597821,1,cluster6
118,0.119186,-1.423034,-0.307588,-0.084854,1,cluster10
119,2.784749,0.798137,1.074383,-0.11989,1,cluster7
120,1.145635,0.298619,0.621577,0.849019,1,cluster9
121,0.882728,-0.644953,0.690178,-2.261359,0,cluster6
122,-0.525237,0.370866,0.998843,-0.00249,0,cluster4
123,-0.667737,-1.300027,-0.001536,-0.767346,1,cluster11
