@relation 2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.RandomProjection-N2-R42-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1}

@data
0,0,0,1,cluster0
1,0,0,1,cluster0
2,0,0,1,cluster0
3,0,0,0,cluster0
4,0,0,1,cluster0
5,0,0,1,cluster0
6,0,0,1,cluster0
7,0,0,0,cluster0
8,1.732051,0,1,cluster0
9,1.732051,1.732051,0,cluster1
10,0,0,1,cluster0
11,0,0,1,cluster0
12,0,0,0,cluster0
13,0,0,1,cluster0
14,1.732051,1.732051,1,cluster1
15,0,0,0,cluster0
16,0,0,1,cluster0
17,3.464102,1.732051,1,cluster1
18,0,0,0,cluster0
19,0,0,1,cluster0
20,1.732051,0,1,cluster0
21,1.732051,1.732051,0,cluster1
22,1.732051,1.732051,0,cluster1
23,1.732051,1.732051,0,cluster1
24,1.732051,1.732051,1,cluster1
25,1.732051,0,1,cluster0
26,1.732051,0,1,cluster0
27,1.732051,0,1,cluster0
28,1.732051,0,0,cluster0
29,0,0,1,cluster0
30,1.732051,0,1,cluster0
31,0,0,1,cluster0
32,0,0,1,cluster0
33,3.464102,1.732051,1,cluster1
34,0,0,1,cluster0
35,0,0,1,cluster0
36,1.732051,1.732051,1,cluster1
37,1.732051,0,1,cluster0
38,1.732051,0,1,cluster0
39,1.732051,0,1,cluster0
40,0,0,0,cluster0
41,1.732051,0,1,cluster0
42,0,0,0,cluster0
43,0,0,1,cluster0
44,1.732051,0,1,cluster0
45,0,0,1,cluster0
46,1.732051,1.732051,1,cluster1
47,1.732051,0,1,cluster0
48,1.732051,0,1,cluster0
49,0,0,1,cluster0
50,1.732051,0,1,cluster0
51,0,0,1,cluster0
52,0,0,1,cluster0
53,1.732051,0,1,cluster0
54,0,0,0,cluster0
55,0,0,1,cluster0
56,1.732051,0,1,cluster0
57,0,0,0,cluster0
58,3.464102,1.732051,1,cluster1
59,1.732051,0,1,cluster0
60,0,0,1,cluster0
61,1.732051,0,1,cluster0
62,0,0,1,cluster0
63,1.732051,0,1,cluster0
64,1.732051,0,1,cluster0
