@relation 2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.RandomProjection-N2-R42-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
0,0,0,1,cluster3
1,0,0,1,cluster3
2,0,0,1,cluster3
3,0,0,0,cluster3
4,0,0,1,cluster3
5,0,0,1,cluster3
6,0,0,1,cluster3
7,0,0,0,cluster3
8,1.732051,0,1,cluster1
9,1.732051,1.732051,0,cluster2
10,0,0,1,cluster3
11,0,0,1,cluster3
12,0,0,0,cluster3
13,0,0,1,cluster3
14,1.732051,1.732051,1,cluster2
15,0,0,0,cluster3
16,0,0,1,cluster3
17,3.464102,1.732051,1,cluster0
18,0,0,0,cluster3
19,0,0,1,cluster3
20,1.732051,0,1,cluster1
21,1.732051,1.732051,0,cluster2
22,1.732051,1.732051,0,cluster2
23,1.732051,1.732051,0,cluster2
24,1.732051,1.732051,1,cluster2
25,1.732051,0,1,cluster1
26,1.732051,0,1,cluster1
27,1.732051,0,1,cluster1
28,1.732051,0,0,cluster1
29,0,0,1,cluster3
30,1.732051,0,1,cluster1
31,0,0,1,cluster3
32,0,0,1,cluster3
33,3.464102,1.732051,1,cluster0
34,0,0,1,cluster3
35,0,0,1,cluster3
36,1.732051,1.732051,1,cluster2
37,1.732051,0,1,cluster1
38,1.732051,0,1,cluster1
39,1.732051,0,1,cluster1
40,0,0,0,cluster3
41,1.732051,0,1,cluster1
42,0,0,0,cluster3
43,0,0,1,cluster3
44,1.732051,0,1,cluster1
45,0,0,1,cluster3
46,1.732051,1.732051,1,cluster2
47,1.732051,0,1,cluster1
48,1.732051,0,1,cluster1
49,0,0,1,cluster3
50,1.732051,0,1,cluster1
51,0,0,1,cluster3
52,0,0,1,cluster3
53,1.732051,0,1,cluster1
54,0,0,0,cluster3
55,0,0,1,cluster3
56,1.732051,0,1,cluster1
57,0,0,0,cluster3
58,3.464102,1.732051,1,cluster0
59,1.732051,0,1,cluster1
60,0,0,1,cluster3
61,1.732051,0,1,cluster1
62,0,0,1,cluster3
63,1.732051,0,1,cluster1
64,1.732051,0,1,cluster1
65,0,0,1,cluster3
66,1.732051,0,1,cluster1
67,3.464102,1.732051,0,cluster0
68,0,0,1,cluster3
69,0,0,0,cluster3
