Age,Income,IsEthnicMinority,IsSoftwareDev,Gender
33,25000,0,0,1
28,43000,0,0,1
30,63000,0,0,1
42,60000,0,0,0
49,9000,0,0,1
34,40000,0,0,1
31,7500,0,0,1
28,40000,0,0,0
26,16000,0,1,1
33,22000,1,0,0
26,10000,0,0,1
26,30000,0,0,1
23,37740,0,0,0
32,18000,0,0,1
22,15000,1,0,1
30,85000,0,0,0
33,9000,0,0,1
26,42000,1,1,1
25,129756,0,0,0
28,58000,0,0,1
33,67200,0,1,1
27,30000,1,0,0
29,44000,1,0,0
25,46000,1,0,0
22,14000,1,0,1
25,12000,0,1,1
22,9600,0,1,1
49,127000,0,1,1
45,150000,0,1,0
28,9000,0,0,1
22,14000,0,1,1
32,100000,0,0,1
26,52000,0,0,1
25,25000,1,1,1
24,68400,0,0,1
31,55000,0,0,1
55,57600,1,0,1
35,50000,0,1,1
31,60000,0,1,1
25,41500,0,1,1
56,12000,0,0,0
30,36000,0,1,1
21,50000,0,0,0
26,17000,0,0,1
30,20000,0,1,1
29,60000,0,0,1
32,30000,1,0,1
21,8000,0,1,1
36,8500,0,1,1
24,60000,0,0,1
32,28500,0,1,1
28,36000,0,0,1
26,39000,0,0,1
33,10000,0,1,1
30,25000,0,0,0
45,85000,0,0,1
24,7000,0,1,1
44,43000,0,0,0
32,45000,1,1,1
23,10000,0,1,1
36,12000,0,0,1
42,40000,0,1,1
46,30000,0,0,1
28,48000,0,1,1
32,35000,0,1,1
43,12000,0,0,1
22,45000,0,1,1
25,65000,1,1,0
26,15000,0,0,1
35,46000,0,0,0
45,80000,0,0,1
28,15000,0,1,1
30,30000,0,0,1
33,40000,0,0,1
26,6000,0,1,1
28,6000,0,0,1
40,50000,0,0,1
34,50000,0,0,1
34,34000,0,0,1
23,20000,0,0,1
24,19000,0,1,1
30,120000,0,1,1
22,24000,0,1,1
23,60000,0,0,1
30,18000,0,1,1
28,70000,0,0,1
19,14045,0,1,1
25,25000,0,1,0
36,60000,0,0,1
43,100000,0,1,1
25,60000,0,0,0
40,54000,1,0,0
31,68000,1,1,1
29,16040,0,1,1
31,39000,0,1,1
42,25000,0,0,1
62,60000,0,0,1
24,25000,0,1,1
24,90000,0,1,1
28,10000,0,1,1
25,57000,0,1,1
59,20000,0,0,1
48,30000,0,0,1
26,200000,0,1,0
23,8000,0,0,1
24,32000,0,1,0
24,39600,0,1,1
28,32000,0,0,0
45,65000,1,0,0
26,48000,0,1,1
25,38000,0,0,1
28,30000,0,0,1
31,11000,0,0,0
29,28800,0,0,1
28,20000,0,1,1
22,200000,0,0,1
27,30000,0,0,1
45,115000,0,0,1
28,55000,0,1,1
51,100000,0,0,1
35,86000,0,0,1
47,13000,0,1,0
31,20000,0,0,0
28,16000,0,1,1
37,17000,0,0,1
39,50000,0,0,0
42,85000,0,1,1
29,9000,0,0,1
38,72000,0,1,1
27,90000,0,1,1
26,48000,0,1,0
24,30000,0,1,0
31,60000,1,0,1
22,15000,0,0,1
27,34500,0,0,0
31,78000,0,0,1
32,60000,0,0,1
27,6000,0,0,1
35,50000,1,0,1
29,70000,0,0,0
39,30000,0,0,1
61,80000,0,1,1
45,50000,0,1,0
35,35000,0,1,1
46,24000,0,0,0
24,13000,1,0,1
36,29000,1,0,0
23,60000,1,1,1
31,52000,0,0,1
21,60000,0,1,1
23,24000,0,1,1
27,39000,0,0,1
24,14000,0,0,1
29,43000,0,0,1
28,42000,0,1,1
23,56000,0,1,1
34,16000,0,1,1
25,11000,1,1,1
31,40000,0,0,0
22,40000,0,0,1
21,14000,0,0,1
22,8000,0,1,1
28,32000,0,0,0
34,35000,0,0,1
31,30000,1,0,1
31,15000,0,0,1
35,31200,0,0,1
30,70000,1,0,1
21,24000,0,1,1
24,12000,0,0,1
47,135000,0,1,1
26,45000,0,1,0
38,70000,0,1,1
51,120000,0,1,1
25,200000,1,0,1
38,54000,1,1,1
38,34000,1,0,0
40,35000,0,0,1
25,60000,1,1,1
24,43200,0,1,1
34,115000,0,1,1
31,55000,1,0,1
26,42000,0,1,1
33,50000,0,1,0
32,12000,0,0,0
23,26000,0,0,1
29,40000,0,1,1
27,75000,0,1,0
21,60000,0,1,1
23,32000,0,0,1
38,15428,0,0,1
29,50000,0,0,1
27,7200,0,0,1
27,14500,0,0,1
30,17000,0,0,1
26,19000,0,0,1
43,65000,0,0,0
17,24000,0,0,1
33,130000,0,0,0
20,6000,0,1,1
30,14000,1,0,0
28,22000,0,0,1
29,60000,0,0,0
27,28000,0,0,0
21,24000,0,1,1
26,40000,0,0,1
30,6000,0,0,1
26,48000,0,0,1
27,17000,0,0,1
26,70000,1,1,0
36,115000,1,1,1
33,40000,0,1,1
25,30000,0,1,1
26,15000,0,1,1
33,84000,0,1,1
42,40000,1,0,1
28,16000,0,1,1
45,116000,0,1,1
28,10000,0,1,1
31,40000,0,0,1
30,82000,0,1,1
33,13000,1,1,1
35,70000,0,0,1
24,63576,0,0,1
31,50000,1,0,1
35,54000,0,1,1
34,55000,0,1,1
28,8300,0,0,1
23,10000,0,1,1
18,7500,1,0,0
26,43200,1,0,1
30,11971,0,0,0
29,9781,0,1,1
29,12000,1,0,1
30,60000,1,1,1
24,67000,0,0,0
27,8000,0,1,1
29,30000,0,1,0
33,10000,0,1,1
24,6000,0,0,1
24,8000,0,1,1
27,15000,1,0,1
20,10000,1,0,0
35,100000,0,0,0
50,40000,1,0,1
34,44500,1,0,1
35,90000,0,0,1
25,58800,0,0,1
26,58000,0,1,1
28,50000,0,0,1
28,27000,0,0,1
24,25000,1,0,1
26,20000,0,0,1
27,155000,0,1,1
22,6000,0,1,1
29,17000,0,0,1
26,6000,0,0,1
49,62000,0,0,1
35,52000,0,0,1
56,18000,0,1,1
35,65000,0,0,1
26,10000,0,1,1
31,55000,1,1,1
26,16000,1,0,1
31,30000,1,0,1
33,70000,0,0,0
27,10000,0,1,1
28,12000,1,0,1
26,130000,0,1,1
26,35000,0,1,0
22,10000,0,1,0
37,12000,1,1,1
22,57600,0,1,1
21,60000,0,1,1
45,42000,0,0,1
28,9000,0,1,1
17,24000,0,0,1
32,22000,0,0,1
53,85000,1,0,1
29,40000,0,0,1
32,12000,0,1,1
20,43200,1,0,1
25,40000,0,0,1
42,9000,0,0,1
27,26000,0,0,1
35,38000,0,0,1
36,30000,1,1,1
28,32000,1,0,1
32,24000,0,1,1
30,60000,1,0,1
36,54000,0,0,1
23,60000,0,1,1
29,56704,0,1,1
28,50000,1,1,1
22,60000,0,0,0
26,24000,0,1,1
31,22000,0,0,1
28,20000,0,0,1
35,15000,0,0,1
25,35000,1,1,1
32,200000,1,0,1
22,60000,0,0,1
20,35000,0,1,1
33,70000,0,1,1
28,35000,0,1,0
39,57000,1,1,1
28,43000,1,0,1
28,30000,0,0,1
24,10000,0,0,1
40,70000,1,1,1
27,12000,0,1,1
23,35000,1,1,1
29,50000,0,0,1
33,6000,0,1,1
55,120000,0,1,1
28,10000,0,0,1
28,16000,1,0,1
30,12000,1,0,1
35,15000,1,0,1
25,15600,1,0,0
46,55000,0,0,0
22,35000,0,0,1
26,60000,0,1,0
25,90000,0,0,0
24,50000,0,1,1
24,38000,1,1,1
33,140000,0,1,1
29,65000,0,1,1
27,45000,1,1,0
28,75000,0,0,0
36,6400,0,0,1
20,60000,0,1,0
38,15000,0,0,1
49,80000,1,0,1
27,45000,1,0,0
23,48000,0,1,1
29,10000,0,1,1
28,28800,1,0,0
25,48000,0,1,1
61,48000,0,0,0
40,100000,0,0,1
41,45000,0,0,0
35,100000,0,1,1
30,18000,0,0,1
43,25000,1,0,1
27,50000,0,0,1
33,112000,0,0,0
30,50000,1,0,1
44,85000,0,0,0
32,25000,0,0,0
27,70000,0,1,1
24,39000,1,0,1
24,12000,0,1,1
32,45000,1,0,1
24,15000,1,0,1
28,90000,0,1,1
33,48000,0,0,1
33,10000,0,0,1
29,27000,0,0,0
16,60000,1,0,1
41,8000,0,0,0
31,42000,1,1,1
35,37000,0,0,1
28,26000,1,0,0
37,20000,0,0,1
26,45000,1,0,1
24,30000,1,0,1
25,30000,0,0,1
24,120000,0,1,1
28,38000,0,0,0
24,30000,1,0,1
20,20000,0,1,1
