Iterations,Value Iteration Rewards,Policy Iteration Rewards,Q Learning Rewards
1,-8183,-127189,-9384
2,-52,-1881,-19503
3,944,591,696
4,959,604,-9104
5,972,889,827
6,972,972,750
7,959,972,-29133
8,966,965,-19104
9,972,-19055,943
10,950,972,-29096
11,931,972,725
12,940,-19035,918
13,958,953,938
14,967,965,-19128
15,958,961,931
16,956,961,876
17,971,972,906
18,972,952,911
19,972,968,938
20,972,-9044,957
21,972,972,-29116
22,966,968,839
23,971,972,763
24,972,948,941
25,949,965,-9069
26,972,965,933
27,962,961,965
28,969,972,-19089
29,-19040,969,959
30,955,963,-19057
31,965,961,-19342
32,952,967,-160764
33,971,-9035,-9141
34,969,969,-19269
35,-9043,971,-119831
36,-9037,942,-9122
37,972,964,-29345
38,966,972,-9092
39,972,965,-19414
40,971,962,-9050
41,972,958,-19109
42,956,950,-9113
43,964,963,666
44,969,961,962
45,972,970,716
46,968,972,-19158
47,959,972,875
48,972,-9035,-9078
49,971,967,856
50,946,960,603
51,966,970,-9128
52,961,968,888
53,972,952,908
54,-9040,955,-19235
55,971,-9055,921
56,-9040,959,852
57,962,972,-9078
58,971,946,-29414
59,970,946,890
60,969,967,-19930
61,952,-19075,-9160
62,970,969,880
63,972,957,-19204
64,961,967,-19148
65,947,972,873
66,972,-9035,-39571
67,939,952,907
68,967,971,-9081
69,962,969,-9067
70,969,962,-19058
71,961,963,-9251
72,965,967,-19081
73,960,967,-19091
74,959,970,871
75,964,971,-9124
76,959,965,699
77,966,945,-19137
78,972,972,-9101
79,972,944,904
80,965,953,-9107
81,968,972,838
82,966,972,928
83,941,972,756
84,965,953,949
85,968,966,-29275
86,967,944,806
87,-9045,959,-19160
88,956,972,828
89,965,969,909
90,968,968,-39289
91,-9049,964,-19999
92,956,972,949
93,953,955,767
94,-9035,961,894
95,967,966,872
96,971,962,-29670
97,967,960,-9409
98,972,972,-9210
99,966,966,-39652
100,970,961,-19197
