Iterations,Value Iteration,Policy Iteration,Q Learning
1,19,1,5
2,0,0,7
3,0,0,8
4,0,1,12
5,0,1,15
6,0,1,20
7,0,1,30
8,1,1,33
9,1,2,39
10,1,2,47
11,1,2,52
12,1,2,55
13,1,3,58
14,1,3,61
15,1,3,64
16,1,3,68
17,2,4,72
18,11,4,76
19,2,4,80
20,2,4,85
21,2,4,90
22,3,4,94
23,3,5,98
24,2,5,102
25,2,5,108
26,2,5,111
27,2,5,115
28,3,5,121
29,3,6,128
30,3,6,132
31,3,6,137
32,3,7,143
33,3,7,149
34,3,7,154
35,3,7,165
36,4,7,170
37,3,8,177
38,4,8,181
39,4,8,185
40,4,8,191
41,4,8,197
42,4,8,202
43,4,9,211
44,4,9,218
45,5,9,224
46,4,9,230
47,5,11,237
48,5,13,243
49,5,10,251
50,5,10,266
51,5,10,273
52,5,15,279
53,6,11,287
54,8,11,293
55,8,11,301
56,8,12,310
57,8,12,318
58,8,12,326
59,9,12,334
60,9,12,345
61,9,12,352
62,9,12,359
63,9,12,369
64,9,13,377
65,9,13,386
66,9,13,393
67,9,13,401
68,19,13,409
69,7,14,418
70,7,14,425
71,7,15,432
72,7,15,444
73,7,16,451
74,11,15,459
75,8,15,468
76,8,15,479
77,8,16,493
78,8,16,503
79,8,17,512
80,8,16,523
81,8,16,532
82,8,17,543
83,8,16,557
84,8,17,567
85,9,17,575
86,9,17,586
87,9,19,593
88,9,19,603
89,9,19,612
90,9,18,625
91,9,19,636
92,9,19,645
93,9,19,656
94,9,19,670
95,17,20,679
96,10,21,690
97,9,20,699
98,10,22,714
99,10,20,722
100,10,21,732
