Iterations,Value Iteration,Policy Iteration,Q Learning
1,4470,17602,850
2,3721,187213,568
3,1800,68467,719
4,5755,35167,236
5,5320,22651,539
6,1004,16186,184
7,2401,9805,61
8,3679,18971,547
9,139,6143,172
10,43,997,183
11,24,492,195
12,41,54,107
13,25,26,267
14,28,29,416
15,21,23,64
16,25,35,96
17,30,28,717
18,28,30,48
19,24,36,115
20,35,39,44
21,42,34,94
22,38,38,46
23,37,37,42
24,38,36,381
25,31,35,69
26,36,48,36
27,32,39,48
28,37,43,41
29,42,42,99
30,36,33,110
31,36,44,40
32,42,34,61
33,40,33,37
34,51,51,48
35,36,39,44
36,41,46,45
37,39,40,42
38,38,40,44
39,43,41,94
40,45,40,199
41,36,43,130
42,36,39,85
43,33,31,42
44,42,44,159
45,40,50,36
46,33,33,45
47,43,38,61
48,47,41,37
49,45,42,37
50,38,44,147
51,39,34,37
52,33,37,47
53,38,40,47
54,40,41,170
55,38,33,40
56,34,39,61
57,36,36,56
58,39,40,66
59,38,37,42
60,39,34,41
61,39,33,39
62,35,38,47
63,36,36,41
64,35,39,46
65,37,43,54
66,38,41,56
67,44,44,67
68,40,38,99
69,42,44,38
70,36,36,46
71,36,50,65
72,37,36,38
73,41,40,749
74,40,42,43
75,40,39,46
76,35,46,33
77,42,46,60
78,41,48,35
79,33,37,35
80,46,36,46
81,44,34,41
82,39,36,35
83,44,38,43
84,39,38,42
85,40,30,61
86,37,41,36
87,40,38,130
88,37,36,37
89,37,34,71
90,39,41,33
91,44,33,140
92,31,41,94
93,55,39,86
94,37,39,81
95,39,34,46
96,37,36,35
97,42,45,68
98,41,36,55
99,37,42,39
100,40,36,40
